epoch,train_total,train_loss_u,train_loss_v,train_loss_p,train_loss_speed_tail,val_total,val_loss_u,val_loss_v,val_loss_p,val_loss_speed_tail,train_rel_l2_u,val_rel_l2_u,val_rel_l2_v,val_rel_l2_p,train_max_speed_err,train_max_p_err,val_max_speed_err,val_max_p_err,pressure_loss_p_effective,speed_tail_p_effective
1.0,2.1271798610687256,1.0103410482406616,1.030867099761963,0.08597162365913391,0.0,2.118885040283203,0.9902170300483704,1.0214544534683228,0.10721340775489807,0.0,0.7379851341247559,0.7401854395866394,0.6764258742332458,0.5608833432197571,0.5370318293571472,0.5525636076927185,0.5149999260902405,0.6221320629119873,16.0,12.0
2.0,1.9722466468811035,0.9392712116241455,0.9467560648918152,0.08621936291456223,0.0,1.9651612043380737,0.9201642274856567,0.9372237920761108,0.10777316242456436,0.0,0.7115559577941895,0.7135230302810669,0.6479363441467285,0.562345564365387,0.5106357336044312,0.5543481707572937,0.4898347854614258,0.6228893399238586,16.0,12.0
3.0,1.8272141218185425,0.8727383017539978,0.8679375648498535,0.08653822541236877,0.0,1.818475604057312,0.8534325957298279,0.8567144274711609,0.10832857340574265,0.0,0.6858917474746704,0.687163233757019,0.6194820404052734,0.5637927055358887,0.48616549372673035,0.5567328929901123,0.46875739097595215,0.6271642446517944,16.0,12.0
4.0,1.6872825622558594,0.8083235621452332,0.7920807003974915,0.08687829971313477,0.0,1.6744918823242188,0.7877072095870972,0.7779383063316345,0.10884639620780945,0.0,0.6600945591926575,0.6601729989051819,0.5903142094612122,0.5651386380195618,0.4652171730995178,0.5595646500587463,0.4481556713581085,0.631430447101593,16.0,12.0
5.0,1.5487298965454102,0.744093656539917,0.7174296975135803,0.08720660954713821,0.0,1.5302084684371948,0.7213864922523499,0.6995314359664917,0.10929045081138611,0.0,0.6333261132240295,0.6317704319953918,0.5597760677337646,0.5662901997566223,0.44483742117881775,0.5627213716506958,0.4280717074871063,0.6353949904441833,16.0,12.0
6.0,1.4090346097946167,0.6787135601043701,0.642831563949585,0.08748944103717804,0.0,1.3838998079299927,0.6535354256629944,0.6207407712936401,0.10962354391813278,0.0,0.6048627495765686,0.6013258695602417,0.5273097157478333,0.5671525597572327,0.42476844787597656,0.5661026835441589,0.4085977375507355,0.6389933228492737,16.0,12.0
7.0,1.2668646574020386,0.6114511489868164,0.5677196979522705,0.08769384026527405,0.0,1.2351100444793701,0.5838338732719421,0.5414708852767944,0.10980532318353653,0.0,0.5741091370582581,0.5683553814888,0.4924909174442291,0.5676226019859314,0.4051280617713928,0.5696312189102173,0.39351412653923035,0.6421423554420471,16.0,12.0
8.0,1.1221073865890503,0.5421671867370605,0.49215543270111084,0.08778472989797592,0.0,1.0846996307373047,0.5125769376754761,0.462332159280777,0.10979059338569641,0.0,0.5406051874160767,0.5325431823730469,0.45507994294166565,0.5675845146179199,0.39522498846054077,0.5732375383377075,0.3922615647315979,0.6447346806526184,16.0,12.0
9.0,0.9759844541549683,0.47136351466178894,0.4168989658355713,0.08772194385528564,0.0,0.9350084662437439,0.44075343012809753,0.38473236560821533,0.10952263325452805,0.0,0.5040708184242249,0.49382510781288147,0.4151356518268585,0.5668914914131165,0.3935897946357727,0.5768405795097351,0.4001627266407013,0.646617591381073,16.0,12.0
10.0,0.8312650918960571,0.4002920985221863,0.3435176610946655,0.08745536208152771,0.0,0.7901162505149841,0.37019357085227966,0.3110010027885437,0.10892169922590256,0.0,0.4645175337791443,0.4525741636753082,0.37324288487434387,0.5653340816497803,0.4007321000099182,0.5803269147872925,0.4186885952949524,0.6475514769554138,16.0,12.0
11.0,0.6925433874130249,0.3311189115047455,0.2745068669319153,0.08691760897636414,0.0,0.6560952067375183,0.30373790860176086,0.24448853731155396,0.1078687384724617,0.0,0.42247942090034485,0.4099442660808563,0.3309328556060791,0.5625948309898376,0.4186810255050659,0.583534300327301,0.4482634961605072,0.6471495628356934,16.0,12.0
12.0,0.5664711594581604,0.267081618309021,0.21337583661079407,0.08601371198892593,0.0,0.5410114526748657,0.24533110857009888,0.18949787318706512,0.10618243366479874,0.0,0.37943345308303833,0.3684271275997162,0.29134854674339294,0.558180034160614,0.44752368330955505,0.5862281918525696,0.48774629831314087,0.6447865962982178,16.0,12.0
13.0,0.46166932582855225,0.21251964569091797,0.1645423322916031,0.08460737764835358,0.0,0.4541919231414795,0.1998242437839508,0.15076294541358948,0.1036047488451004,0.0,0.33846452832221985,0.3325059413909912,0.25987112522125244,0.5513632893562317,0.486206978559494,0.5880661606788635,0.5340123176574707,0.6395220160484314,16.0,12.0
14.0,0.387661874294281,0.17243695259094238,0.1327122151851654,0.08251269906759262,0.0,0.40372931957244873,0.17193840444087982,0.13196446001529694,0.09982645511627197,0.0,0.3048798739910126,0.3084336519241333,0.24313034117221832,0.5412161946296692,0.5317147374153137,0.5885409116744995,0.5815353989601135,0.6301316022872925,16.0,12.0
15.0,0.3515937924385071,0.1509249061346054,0.12115558236837387,0.079513318836689,0.0,0.3911941349506378,0.1636945903301239,0.13288678228855133,0.09461275488138199,0.0,0.28522923588752747,0.30094870924949646,0.24397851526737213,0.5268934965133667,0.578637421131134,0.5869516134262085,0.6224311590194702,0.6154366135597229,16.0,12.0
16.0,0.35197603702545166,0.14795678853988647,0.1285637617111206,0.07545549422502518,0.0,0.406063973903656,0.1712445765733719,0.1467583030462265,0.08806109428405762,0.0,0.2824106216430664,0.3078106939792633,0.25639647245407104,0.5083232522010803,0.6191971898078918,0.5825618505477905,0.6483045220375061,0.5951224565505981,16.0,12.0
