sample_id,case_id,boundary_type,x_star,y_star,u_bc,v_bc,p_bc,normal_x,normal_y
58,B-train-2__ip_skewed_top,inlet,0.0,0.07999999999999996,1.5551424,0.0,,-1.0,0.0
59,B-train-2__ip_skewed_top,inlet,0.0,0.08999999999999997,1.5559008,0.0,,-1.0,0.0
60,B-train-2__ip_skewed_top,inlet,0.0,0.09999999999999998,1.5552000000000001,0.0,,-1.0,0.0
61,B-train-2__ip_skewed_top,inlet,0.0,0.10999999999999999,1.5530112,0.0,,-1.0,0.0
62,B-train-2__ip_skewed_top,inlet,0.0,0.12,1.5493056,0.0,,-1.0,0.0
63,B-train-2__ip_skewed_top,inlet,0.0,0.13,1.5440544000000003,0.0,,-1.0,0.0
64,B-train-2__ip_skewed_top,inlet,0.0,0.14,1.5372288000000003,0.0,,-1.0,0.0
65,B-train-2__ip_skewed_top,inlet,0.0,0.15000000000000002,1.5288,0.0,,-1.0,0.0
66,B-train-2__ip_skewed_top,inlet,0.0,0.16000000000000003,1.5187392000000002,0.0,,-1.0,0.0
67,B-train-2__ip_skewed_top,inlet,0.0,0.17000000000000004,1.5070176000000002,0.0,,-1.0,0.0
68,B-train-2__ip_skewed_top,inlet,0.0,0.18000000000000005,1.4936064,0.0,,-1.0,0.0
69,B-train-2__ip_skewed_top,inlet,0.0,0.19000000000000006,1.4784768,0.0,,-1.0,0.0
70,B-train-2__ip_skewed_top,inlet,0.0,0.20000000000000007,1.4616,0.0,,-1.0,0.0
71,B-train-2__ip_skewed_top,inlet,0.0,0.20999999999999996,1.4429472000000003,0.0,,-1.0,0.0
72,B-train-2__ip_skewed_top,inlet,0.0,0.21999999999999997,1.4224896,0.0,,-1.0,0.0
73,B-train-2__ip_skewed_top,inlet,0.0,0.22999999999999998,1.4001983999999998,0.0,,-1.0,0.0
74,B-train-2__ip_skewed_top,inlet,0.0,0.24,1.3760448,0.0,,-1.0,0.0
75,B-train-2__ip_skewed_top,inlet,0.0,0.25,1.3499999999999999,0.0,,-1.0,0.0
76,B-train-2__ip_skewed_top,inlet,0.0,0.26,1.3220352,0.0,,-1.0,0.0
77,B-train-2__ip_skewed_top,inlet,0.0,0.27,1.2921215999999998,0.0,,-1.0,0.0
78,B-train-2__ip_skewed_top,inlet,0.0,0.28,1.2602303999999998,0.0,,-1.0,0.0
79,B-train-2__ip_skewed_top,inlet,0.0,0.29000000000000004,1.2263328,0.0,,-1.0,0.0
80,B-train-2__ip_skewed_top,inlet,0.0,0.30000000000000004,1.1904,0.0,,-1.0,0.0
81,B-train-2__ip_skewed_top,inlet,0.0,0.31000000000000005,1.1524032,0.0,,-1.0,0.0
82,B-train-2__ip_skewed_top,inlet,0.0,0.32000000000000006,1.1123135999999996,0.0,,-1.0,0.0
83,B-train-2__ip_skewed_top,inlet,0.0,0.33000000000000007,1.0701023999999997,0.0,,-1.0,0.0
84,B-train-2__ip_skewed_top,inlet,0.0,0.33999999999999997,1.0257408000000001,0.0,,-1.0,0.0
85,B-train-2__ip_skewed_top,inlet,0.0,0.35,0.9792000000000001,0.0,,-1.0,0.0
86,B-train-2__ip_skewed_top,inlet,0.0,0.36,0.9304512,0.0,,-1.0,0.0
87,B-train-2__ip_skewed_top,inlet,0.0,0.37,0.8794656000000002,0.0,,-1.0,0.0
88,B-train-2__ip_skewed_top,inlet,0.0,0.38,0.8262143999999999,0.0,,-1.0,0.0
89,B-train-2__ip_skewed_top,inlet,0.0,0.39,0.7706687999999999,0.0,,-1.0,0.0
90,B-train-2__ip_skewed_top,inlet,0.0,0.4,0.7127999999999998,0.0,,-1.0,0.0
91,B-train-2__ip_skewed_top,inlet,0.0,0.41000000000000003,0.6525791999999998,0.0,,-1.0,0.0
92,B-train-2__ip_skewed_top,inlet,0.0,0.42000000000000004,0.5899775999999998,0.0,,-1.0,0.0
93,B-train-2__ip_skewed_top,inlet,0.0,0.43000000000000005,0.5249663999999997,0.0,,-1.0,0.0
94,B-train-2__ip_skewed_top,inlet,0.0,0.44000000000000006,0.4575167999999996,0.0,,-1.0,0.0
95,B-train-2__ip_skewed_top,inlet,0.0,0.45000000000000007,0.38759999999999944,0.0,,-1.0,0.0
96,B-train-2__ip_skewed_top,inlet,0.0,0.45999999999999996,0.31518720000000033,0.0,,-1.0,0.0
97,B-train-2__ip_skewed_top,inlet,0.0,0.47,0.2402496000000001,0.0,,-1.0,0.0
98,B-train-2__ip_skewed_top,inlet,0.0,0.48,0.16275840000000005,0.0,,-1.0,0.0
99,B-train-2__ip_skewed_top,inlet,0.0,0.49,0.08268480000000016,0.0,,-1.0,0.0
100,B-train-2__ip_skewed_top,inlet,0.0,0.5,0.0,0.0,,-1.0,0.0
101,B-train-2__ip_skewed_top,wall,0.0,0.5,0.0,0.0,,0.0,1.0
102,B-train-2__ip_skewed_top,wall,0.04,0.5,0.0,0.0,,0.0,1.0
103,B-train-2__ip_skewed_top,wall,0.08,0.5,0.0,0.0,,0.0,1.0
104,B-train-2__ip_skewed_top,wall,0.12,0.5,0.0,0.0,,0.0,1.0
105,B-train-2__ip_skewed_top,wall,0.16,0.5,0.0,0.0,,0.0,1.0
106,B-train-2__ip_skewed_top,wall,0.2,0.5,0.0,0.0,,0.0,1.0
107,B-train-2__ip_skewed_top,wall,0.24,0.5,0.0,0.0,,0.0,1.0
108,B-train-2__ip_skewed_top,wall,0.28,0.5,0.0,0.0,,0.0,1.0
109,B-train-2__ip_skewed_top,wall,0.32,0.5,0.0,0.0,,0.0,1.0
110,B-train-2__ip_skewed_top,wall,0.36,0.5,0.0,0.0,,0.0,1.0
111,B-train-2__ip_skewed_top,wall,0.4,0.5,0.0,0.0,,0.0,1.0
112,B-train-2__ip_skewed_top,wall,0.44,0.5,0.0,0.0,,0.0,1.0
113,B-train-2__ip_skewed_top,wall,0.48,0.5,0.0,0.0,,0.0,1.0
114,B-train-2__ip_skewed_top,wall,0.52,0.5,0.0,0.0,,0.0,1.0
115,B-train-2__ip_skewed_top,wall,0.56,0.5,0.0,0.0,,0.0,1.0
116,B-train-2__ip_skewed_top,wall,0.6,0.5,0.0,0.0,,0.0,1.0
117,B-train-2__ip_skewed_top,wall,0.64,0.5,0.0,0.0,,0.0,1.0
118,B-train-2__ip_skewed_top,wall,0.68,0.5,0.0,0.0,,0.0,1.0
119,B-train-2__ip_skewed_top,wall,0.72,0.5,0.0,0.0,,0.0,1.0
120,B-train-2__ip_skewed_top,wall,0.76,0.5,0.0,0.0,,0.0,1.0
121,B-train-2__ip_skewed_top,wall,0.8,0.5,0.0,0.0,,0.0,1.0
122,B-train-2__ip_skewed_top,wall,0.84,0.5,0.0,0.0,,0.0,1.0
123,B-train-2__ip_skewed_top,wall,0.88,0.5,0.0,0.0,,0.0,1.0
124,B-train-2__ip_skewed_top,wall,0.92,0.5,0.0,0.0,,0.0,1.0
125,B-train-2__ip_skewed_top,wall,0.96,0.5,0.0,0.0,,0.0,1.0
126,B-train-2__ip_skewed_top,wall,1.0,0.5,0.0,0.0,,0.0,1.0
127,B-train-2__ip_skewed_top,wall,1.04,0.5,0.0,0.0,,0.0,1.0
128,B-train-2__ip_skewed_top,wall,1.08,0.5,0.0,0.0,,0.0,1.0
129,B-train-2__ip_skewed_top,wall,1.12,0.5,0.0,0.0,,0.0,1.0
130,B-train-2__ip_skewed_top,wall,1.16,0.5,0.0,0.0,,0.0,1.0
131,B-train-2__ip_skewed_top,wall,1.2,0.5,0.0,0.0,,0.0,1.0
132,B-train-2__ip_skewed_top,wall,1.24,0.5,0.0,0.0,,0.0,1.0
133,B-train-2__ip_skewed_top,wall,1.28,0.5,0.0,0.0,,0.0,1.0
134,B-train-2__ip_skewed_top,wall,1.32,0.5,0.0,0.0,,0.0,1.0
135,B-train-2__ip_skewed_top,wall,1.36,0.5,0.0,0.0,,0.0,1.0
136,B-train-2__ip_skewed_top,wall,1.4000000000000001,0.5,0.0,0.0,,0.0,1.0
137,B-train-2__ip_skewed_top,wall,1.44,0.5,0.0,0.0,,0.0,1.0
138,B-train-2__ip_skewed_top,wall,1.48,0.5,0.0,0.0,,0.0,1.0
139,B-train-2__ip_skewed_top,wall,1.52,0.5,0.0,0.0,,0.0,1.0
140,B-train-2__ip_skewed_top,wall,1.56,0.5,0.0,0.0,,0.0,1.0
141,B-train-2__ip_skewed_top,wall,1.6,0.5,0.0,0.0,,0.0,1.0
142,B-train-2__ip_skewed_top,wall,1.6400000000000001,0.5,0.0,0.0,,0.0,1.0
143,B-train-2__ip_skewed_top,wall,1.68,0.5,0.0,0.0,,0.0,1.0
144,B-train-2__ip_skewed_top,wall,1.72,0.5,0.0,0.0,,0.0,1.0
145,B-train-2__ip_skewed_top,wall,1.76,0.5,0.0,0.0,,0.0,1.0
146,B-train-2__ip_skewed_top,wall,1.8,0.5,0.0,0.0,,0.0,1.0
