epoch,train_total,train_loss_u,train_loss_v,train_loss_p,train_loss_speed_tail,val_total,val_loss_u,val_loss_v,val_loss_p,val_loss_speed_tail,train_rel_l2_u,val_rel_l2_u,val_rel_l2_v,val_rel_l2_p,train_max_speed_err,train_max_p_err,val_max_speed_err,val_max_p_err,pressure_loss_p_effective,speed_tail_p_effective
1.0,2.1003475189208984,1.0409520864486694,1.0027865171432495,0.05660886690020561,0.0,4.626358985900879,2.1300230026245117,2.207496166229248,0.28883957862854004,0.0,0.38712558150291443,0.4273172616958618,1.0031979084014893,0.6270052194595337,0.5661811232566833,0.6264722347259521,0.5136066675186157,0.648801326751709,16.0,12.0
2.0,1.970948576927185,0.9247572422027588,0.9900338649749756,0.056157466024160385,0.0,4.390325546264648,1.9174070358276367,2.184619188308716,0.2882995903491974,0.0,0.36488020420074463,0.40542957186698914,0.9979860186576843,0.6264187693595886,0.5432502627372742,0.6246694326400757,0.49442607164382935,0.6473317742347717,16.0,12.0
3.0,1.851073980331421,0.8174759149551392,0.9778968095779419,0.05570126324892044,0.0,4.167910575866699,1.7180885076522827,2.1620419025421143,0.2877802848815918,0.0,0.34306302666664124,0.3837788701057434,0.9928156137466431,0.6258543729782104,0.520609974861145,0.622765302658081,0.47535091638565063,0.6458176374435425,16.0,12.0
4.0,1.7396687269210815,0.7181030511856079,0.9663314819335938,0.055234141647815704,0.0,3.956707239151001,1.5296485424041748,2.139798641204834,0.2872600257396698,0.0,0.32153618335723877,0.3621213436126709,0.9876953959465027,0.6252884268760681,0.4979808032512665,0.6207432746887207,0.45611175894737244,0.64425128698349,16.0,12.0
5.0,1.6358635425567627,0.6258037686347961,0.9553006887435913,0.054758988320827484,0.0,3.7551252841949463,1.3505096435546875,2.1178841590881348,0.28673142194747925,0.0,0.3001618981361389,0.34025704860687256,0.9826245903968811,0.6247128248214722,0.47508999705314636,0.6186175346374512,0.4364752471446991,0.6426531076431274,16.0,12.0
6.0,1.5390236377716064,0.5399758219718933,0.9447728395462036,0.05427500605583191,0.0,3.562295436859131,1.1798335313796997,2.0962769985198975,0.2861848771572113,0.0,0.2788197994232178,0.3180304169654846,0.9775993227958679,0.6241171360015869,0.4516812860965729,0.6164063215255737,0.4162416160106659,0.641032874584198,16.0,12.0
7.0,1.4487842321395874,0.4602854251861572,0.9347190260887146,0.053779736161231995,0.0,3.378037691116333,1.0174750089645386,2.0749545097351074,0.28560808300971985,0.0,0.25742462277412415,0.29533857107162476,0.9726148247718811,0.6234878897666931,0.42752301692962646,0.614118754863739,0.3952460289001465,0.6396487951278687,16.0,12.0
8.0,1.3650685548782349,0.38668546080589294,0.9251120686531067,0.05327102541923523,0.0,3.202815294265747,0.8639344573020935,2.0538923740386963,0.2849883735179901,0.0,0.23594748973846436,0.2721439301967621,0.9676658511161804,0.6228110790252686,0.40241315960884094,0.6117498874664307,0.3733613193035126,0.6415026187896729,16.0,12.0
9.0,1.2880905866622925,0.31941619515419006,0.9159265756607056,0.05274786427617073,0.0,3.037696361541748,0.7203311324119568,2.0330543518066406,0.28431078791618347,0.0,0.21444451808929443,0.2484988272190094,0.9627445936203003,0.6220702528953552,0.37618884444236755,0.6092888116836548,0.35051068663597107,0.643284261226654,16.0,12.0
10.0,1.2183310985565186,0.2589871883392334,0.907135009765625,0.05220887064933777,0.0,2.8842759132385254,0.5883334875106812,2.012382745742798,0.2835597097873688,0.0,0.1930970400571823,0.22457948327064514,0.9578375816345215,0.6212480664253235,0.3487408459186554,0.6067204475402832,0.3266846835613251,0.6449695229530334,16.0,12.0
