rate,strategy,speed,pressure
1,分区感知,0.03574424609541893,0.17421096563339233
1,均匀采样,0.060540881007909775,0.2024458348751068
5,分区感知,0.03208403289318085,0.0725301206111908
5,均匀采样,0.025919124484062195,0.10210397839546204
10,分区感知,0.027160290628671646,0.0779230147600174
10,均匀采样,0.028050512075424194,0.08216091245412827
15,分区感知,0.025702226907014847,0.07840403914451599
15,均匀采样,0.02908121794462204,0.09983999282121658
