sample_id,case_id,family,x_star,y_star,u_star,v_star,p_star,speed_star,region_id,wall_distance_star,is_boundary,boundary_type
0,C-train-1,contraction,0.0,-0.164329,1.33798,-1.9893100000000003e-40,266.378,1.33798,0,0.335671,1,inlet
1,C-train-1,contraction,0.0,0.0379221,1.49137,4.81385e-41,266.378,1.49137,0,0.4620779,1,inlet
2,C-train-1,contraction,0.0,0.0126407,1.49904,1.60805e-41,266.378,1.49904,0,0.4873593,1,inlet
3,C-train-1,contraction,0.0,0.0632036,1.47603,7.98195e-41,266.378,1.47603,0,0.4367964,1,inlet
4,C-train-1,contraction,0.0,-0.265455,1.0772,-2.9448600000000003e-40,266.378,1.0772,0,0.234545,1,inlet
5,C-train-1,contraction,0.0,-0.189611,1.28429,-2.2558e-40,266.378,1.28429,0,0.310389,1,inlet
6,C-train-1,contraction,0.0195408,-0.184224,1.29637,-4.74796e-10,266.144,1.29637,0,0.315776,0,interior
7,C-train-1,contraction,0.0,-0.139048,1.38399,-1.70699e-40,266.378,1.38399,0,0.360952,1,inlet
8,C-train-1,contraction,0.0200146,-0.156317,1.35339,-4.20454e-10,266.138,1.35339,0,0.34368299999999996,0,interior
9,C-train-1,contraction,0.0,-0.0126407,1.49904,-1.6092000000000002e-41,266.378,1.49904,0,0.4873593,1,inlet
10,C-train-1,contraction,0.0,-0.088485,1.45302,-1.10946e-40,266.378,1.45302,0,0.411515,1,inlet
11,C-train-1,contraction,0.0,-0.113766,1.42234,-1.4158100000000002e-40,266.378,1.42234,0,0.38623399999999997,1,inlet
12,C-train-1,contraction,0.0,-0.0632036,1.47603,-7.98224e-41,266.378,1.47603,0,0.4367964,1,inlet
13,C-train-1,contraction,0.0,-0.0379221,1.49137,-4.81653e-41,266.378,1.49137,0,0.4620779,1,inlet
14,C-train-1,contraction,0.0188479,0.0064167,1.49975,1.68968e-11,266.152,1.49975,0,0.4935833,0,interior
15,C-train-1,contraction,0.0188479,0.0550999,1.48178,1.46244e-10,266.152,1.48178,0,0.4449001,0,interior
16,C-train-1,contraction,0.0188479,0.0307583,1.49432,8.20917e-11,266.152,1.49432,0,0.4692417,0,interior
17,C-train-1,contraction,0.0182705,0.0822798,1.45938,2.10704e-10,266.159,1.45938,0,0.4177202,0,interior
18,C-train-1,contraction,0.0,0.088485,1.45302,1.1099300000000001e-40,266.378,1.45302,0,0.411515,1,inlet
19,C-train-1,contraction,0.0,-0.316018,0.900796,-3.2841600000000004e-40,266.378,0.900796,0,0.18398199999999998,1,inlet
20,C-train-1,contraction,0.0,-0.341299,0.801089,-3.40093e-40,266.378,0.801089,0,0.15870099999999998,1,inlet
21,C-train-1,contraction,0.0,-0.290736,0.992834,-3.1332900000000002e-40,266.378,0.992834,0,0.209264,1,inlet
22,C-train-1,contraction,0.0424886,-0.175707,1.31476,-9.09894e-10,265.868,1.31476,0,0.324293,0,interior
23,C-train-1,contraction,0.0,-0.214892,1.22293,-2.5102900000000002e-40,266.378,1.22293,0,0.28510800000000003,1,inlet
24,C-train-1,contraction,0.018739,-0.260373,1.09323,-5.98113e-10,266.153,1.09323,0,0.23962699999999998,0,interior
25,C-train-1,contraction,0.0,-0.240174,1.1539,-2.73566e-40,266.378,1.1539,0,0.259826,1,inlet
26,C-train-1,contraction,0.0195408,-0.208007,1.2404,-5.25467e-10,266.144,1.2404,0,0.291993,0,interior
27,C-train-1,contraction,0.0200146,-0.132245,1.39507,-3.60872e-10,266.138,1.39507,0,0.367755,0,interior
28,C-train-1,contraction,0.0424886,-0.152993,1.35956,-8.06034e-10,265.868,1.35956,0,0.347007,0,interior
29,C-train-1,contraction,0.0188479,-0.0307583,1.49432,-8.18437e-11,266.152,1.49432,0,0.4692417,0,interior
30,C-train-1,contraction,0.0182705,-0.0822798,1.45938,-2.10767e-10,266.159,1.45938,0,0.4177202,0,interior
31,C-train-1,contraction,0.038548,-0.103451,1.43579,-5.16211e-10,265.916,1.43579,0,0.396549,0,interior
32,C-train-1,contraction,0.0188479,-0.0550999,1.48178,-1.46393e-10,266.152,1.48178,0,0.4449001,0,interior
33,C-train-1,contraction,0.0394164,0.0272139,1.49556,1.4141e-10,265.905,1.49556,0,0.4727861,0,interior
34,C-train-1,contraction,0.0394164,0.0012993,1.49999,6.6942e-12,265.905,1.49999,0,0.4987007,0,interior
35,C-train-1,contraction,0.0394164,-0.0246153,1.49636,-1.27962e-10,265.905,1.49636,0,0.4753847,0,interior
36,C-train-1,contraction,0.0394164,0.0738458,1.46728,3.80317e-10,265.905,1.46728,0,0.4261542,0,interior
37,C-train-1,contraction,0.0394164,0.0505298,1.48468,2.61529e-10,265.905,1.48468,0,0.4494702,0,interior
38,C-train-1,contraction,0.0182705,0.106457,1.432,2.70176e-10,266.159,1.432,0,0.393543,0,interior
39,C-train-1,contraction,0.0,0.113766,1.42234,1.4137100000000001e-40,266.378,1.42234,0,0.38623399999999997,1,inlet
40,C-train-1,contraction,0.0611092,0.105419,1.43332,7.67537e-10,265.645,1.43332,0,0.394581,0,interior
41,C-train-1,contraction,0.0395361,0.119502,1.41432,6.04094e-10,265.904,1.41432,0,0.380498,0,interior
42,C-train-1,contraction,0.0222098,-0.310019,0.923331,-7.71492e-10,266.112,0.923331,0,0.189981,0,interior
43,C-train-1,contraction,0.0222098,-0.332971,0.834784,-7.94092e-10,266.112,0.834784,0,0.16702899999999998,0,interior
44,C-train-1,contraction,0.0,-0.366581,0.693712,-3.48949e-40,266.378,0.693712,2,0.133419,1,inlet
45,C-train-1,contraction,0.0,-0.417144,0.455948,-3.6269400000000004e-40,266.378,0.455948,2,0.08285599999999999,1,inlet
46,C-train-1,contraction,0.0,-0.391862,0.578665,-3.56125e-40,266.378,0.578665,2,0.10813800000000001,1,inlet
47,C-train-1,contraction,0.0861652,-0.173243,1.31992,-1.53896e-09,265.344,1.31992,0,0.32675699999999996,0,interior
48,C-train-1,contraction,0.0412021,-0.284588,1.01406,-1.25519e-09,265.884,1.01406,0,0.215412,0,interior
49,C-train-1,contraction,0.0420186,-0.251229,1.12131,-1.18643e-09,265.874,1.12131,0,0.24877100000000002,0,interior
