sample_id,case_id,family,sampling_tag,noise_tag,x_star,y_star,u_obs,v_obs,p_obs,region_id,wall_distance_star
336,C-train-1,contraction,uniform_1pct,clean,1.21625,-0.318182,0.892562,-2.38347e-09,251.783,0,0.18181799999999998
1439,C-train-1,contraction,uniform_1pct,clean,9.54992,-7.79055e-09,1.76471,9.23256e-11,126.034,0,0.42499999220945
661,C-train-1,contraction,uniform_1pct,clean,3.55355,-0.136364,1.38843,2.43558e-06,223.736,1,0.36363599999999996
2158,C-train-1,contraction,uniform_1pct,clean,15.2239,0.255,1.12941,1.23652e-10,15.1648,0,0.16999999999999998
1596,C-train-1,contraction,uniform_1pct,clean,10.8088,-0.255,1.12941,-8.27664e-10,101.435,0,0.16999999999999998
1524,C-train-1,contraction,uniform_1pct,clean,10.2592,0.085,1.69412,4.58902e-10,112.176,0,0.33999999999999997
1994,C-train-1,contraction,uniform_1pct,clean,14.0625,0.34,0.635294,2.31703e-10,37.8584,2,0.08499999999999996
1856,C-train-1,contraction,uniform_1pct,clean,12.9189,-0.17,1.48235,-4.29841e-10,60.2056,0,0.255
879,C-train-1,contraction,uniform_1pct,clean,5.101,0.311305,0.911572,-0.0129133,205.012,1,0.17880126109165723
516,C-train-1,contraction,uniform_1pct,clean,2.56221,-0.318182,0.892562,-4.43817e-09,235.632,0,0.18181799999999998
1178,C-train-1,contraction,uniform_1pct,clean,7.44877,0.17092,1.47559,-0.00485847,167.069,1,0.25565944610434965
1315,C-train-1,contraction,uniform_1pct,clean,8.48605,0.17,1.48235,6.86863e-07,146.823,1,0.255
685,C-train-1,contraction,uniform_1pct,clean,3.69862,-0.0454546,1.48761,7.66343e-06,221.995,1,0.4545454
914,C-train-1,contraction,uniform_1pct,clean,5.38309,0.39506,0.511909,-0.0119967,201.433,2,0.08779183084971204
1886,C-train-1,contraction,uniform_1pct,clean,13.1848,0.085,1.69412,2.24316e-10,55.0086,0,0.33999999999999997
1442,C-train-1,contraction,uniform_1pct,clean,9.54992,-0.34,0.635294,-6.92508e-10,126.034,2,0.08499999999999996
1738,C-train-1,contraction,uniform_1pct,clean,11.9436,-0.17,1.48235,-5.65765e-10,79.2613,0,0.255
1617,C-train-1,contraction,uniform_1pct,clean,10.9684,0.085,1.69412,4.00914e-10,98.317,0,0.33999999999999997
296,C-train-1,contraction,uniform_1pct,clean,0.861628,0.227273,1.19008,2.31947e-09,256.039,0,0.272727
