sample_id,case_id,family,x_star,y_star,u_star,v_star,p_star,speed_star,region_id,wall_distance_star,is_boundary,boundary_type
0,B-train-3__ip_skewed_top,bend,0.0,-0.0551831,1.41632,-1.4747400000000002e-32,194.815,1.41632,0,0.4448169,1,inlet
1,B-train-3__ip_skewed_top,bend,0.0,-0.0827746,1.36228,-1.43619e-32,194.453,1.36228,0,0.41722539999999997,1,inlet
2,B-train-3__ip_skewed_top,bend,0.0,-0.110366,1.30093,-1.3839400000000001e-32,194.106,1.30093,0,0.389634,1,inlet
3,B-train-3__ip_skewed_top,bend,0.0197,-0.0746837,1.37922,-0.0286587,194.395,1.3795177162637997,0,0.4253163,0,interior
4,B-train-3__ip_skewed_top,bend,0.0,-0.137958,1.23286,-1.31622e-32,193.77,1.23286,0,0.362042,1,inlet
5,B-train-3__ip_skewed_top,bend,0.0,-0.0275915,1.46242,-1.4979600000000002e-32,195.178,1.46242,0,0.4724085,1,inlet
6,B-train-3__ip_skewed_top,bend,0.0,0.0551831,1.54714,-1.47467e-32,196.279,1.54714,0,0.4448169,1,inlet
7,B-train-3__ip_skewed_top,bend,0.0,0.0275915,1.52844,-1.49797e-32,195.917,1.52844,0,0.4724085,1,inlet
8,B-train-3__ip_skewed_top,bend,0.0,4.31753e-17,1.5,-1.50582e-32,195.546,1.5,0,0.49999999999999994,1,inlet
9,B-train-3__ip_skewed_top,bend,0.0,0.193141,1.47337,-1.14351e-32,197.952,1.47337,0,0.306859,1,inlet
10,B-train-3__ip_skewed_top,bend,0.0,0.137958,1.53875,-1.31784e-32,197.325,1.53875,0,0.362042,1,inlet
11,B-train-3__ip_skewed_top,bend,0.0,0.110366,1.5529,-1.38371e-32,196.988,1.5529,0,0.389634,1,inlet
12,B-train-3__ip_skewed_top,bend,0.0,0.0827746,1.5555,-1.43628e-32,196.641,1.5555,0,0.41722539999999997,1,inlet
13,B-train-3__ip_skewed_top,bend,0.0,0.303507,1.17731,-6.64344e-33,198.889,1.17731,0,0.19649299999999997,1,inlet
14,B-train-3__ip_skewed_top,bend,0.0,0.248324,1.3545,-9.20594e-33,198.48,1.3545,0,0.251676,1,inlet
15,B-train-3__ip_skewed_top,bend,0.0,0.275915,1.2735,-7.94967e-33,198.701,1.2735,0,0.22408499999999998,1,inlet
16,B-train-3__ip_skewed_top,bend,0.0197,-0.0483018,1.42878,-0.0293056,194.714,1.4290805108850095,0,0.4516982,0,interior
17,B-train-3__ip_skewed_top,bend,0.0199192,-0.129583,1.25472,-0.0267066,193.756,1.255004191580076,0,0.370417,0,interior
18,B-train-3__ip_skewed_top,bend,0.0208589,-0.102142,1.32041,-0.0291647,194.066,1.3207320499730784,0,0.397858,0,interior
19,B-train-3__ip_skewed_top,bend,0.0398417,-0.0694762,1.39037,-0.0535924,194.283,1.3914024875059554,0,0.4305238,0,interior
20,B-train-3__ip_skewed_top,bend,0.0,-0.165549,1.15868,-1.23574e-32,193.447,1.15868,0,0.334451,1,inlet
21,B-train-3__ip_skewed_top,bend,0.0202011,-0.158364,1.1792,-0.0254061,193.444,1.179473658000555,0,0.341636,0,interior
22,B-train-3__ip_skewed_top,bend,0.0,0.331098,1.06534,-5.2907e-33,199.042,1.06534,0,0.168902,1,inlet
23,B-train-3__ip_skewed_top,bend,0.0202378,0.326043,1.08605,-0.0112247,198.49,1.0861080040171374,0,0.17395699999999997,0,interior
24,B-train-3__ip_skewed_top,bend,0.0197,0.0746837,1.55385,-0.0286598,196.226,1.5541142836471327,0,0.4253163,0,interior
25,B-train-3__ip_skewed_top,bend,0.0195247,-0.0197278,1.47411,-0.0294471,195.069,1.4744040910816851,0,0.4802722,0,interior
26,B-train-3__ip_skewed_top,bend,0.0197,0.0483017,1.54323,-0.0293033,195.907,1.543508184717817,0,0.4516983,0,interior
27,B-train-3__ip_skewed_top,bend,0.0195247,0.0197278,1.52122,-0.0294569,195.558,1.5215051749361914,0,0.4802722,0,interior
28,B-train-3__ip_skewed_top,bend,0.0,0.220732,1.42092,-1.03326e-32,198.219,1.42092,0,0.27926799999999996,1,inlet
29,B-train-3__ip_skewed_top,bend,0.018994,0.185851,1.48431,-0.0222723,197.468,1.484477090239957,0,0.314149,0,interior
30,B-train-3__ip_skewed_top,bend,0.0,0.165549,1.51244,-1.23244e-32,197.638,1.51244,0,0.334451,1,inlet
31,B-train-3__ip_skewed_top,bend,0.0188543,0.130864,1.54306,-0.0253347,196.892,1.5432679646205614,0,0.369136,0,interior
32,B-train-3__ip_skewed_top,bend,0.0199192,0.103352,1.5542,-0.0279068,196.557,1.554450523331714,0,0.396648,0,interior
33,B-train-3__ip_skewed_top,bend,0.0192809,0.240867,1.37303,-0.0183901,197.962,1.3731531512100208,0,0.259133,0,interior
34,B-train-3__ip_skewed_top,bend,0.0196776,0.295783,1.20484,-0.0137899,198.341,1.2049189130153157,0,0.20421699999999998,0,interior
35,B-train-3__ip_skewed_top,bend,0.0212742,0.268345,1.29614,-0.0175408,198.125,1.2962586853188836,0,0.231655,0,interior
36,B-train-3__ip_skewed_top,bend,0.0393663,-0.0397759,1.4437,-0.0542679,194.618,1.444719590429371,0,0.4602241,0,interior
37,B-train-3__ip_skewed_top,bend,0.0393663,-0.0132587,1.48325,-0.054797,194.923,1.4842618615692447,0,0.4867413,0,interior
38,B-train-3__ip_skewed_top,bend,0.0404081,-0.149349,1.20527,-0.047669,193.431,1.2062122974257061,0,0.350651,0,interior
39,B-train-3__ip_skewed_top,bend,0.0422498,-0.122002,1.27512,-0.0523064,193.701,1.27619237338301,0,0.377998,0,interior
40,B-train-3__ip_skewed_top,bend,0.060466,-0.0911581,1.3475,-0.0727637,193.878,1.349463154753656,0,0.4088419,0,interior
41,B-train-3__ip_skewed_top,bend,0.059653,-0.0602737,1.40898,-0.0744708,194.198,1.4109466823564383,0,0.4397263,0,interior
42,B-train-3__ip_skewed_top,bend,0.0,-0.193141,1.07899,-1.1416800000000001e-32,193.148,1.07899,0,0.306859,1,inlet
