run|cell|train_seed|obs_seed|rc|rel_l2_u|rel_l2_speed|rel_l2_p|wall_ms|metrics_present|metrics_root
rev2609_t5c10__s44__o0|t5c10|44|0|0|0.0311493|0.0311448|0.100856|54841|YES|pinn
rev2609_t5c10__s45__o0|t5c10|45|0|0|0.0262329|0.0262305|0.120435|54933|YES|pinn
rev2609_t5c10__s46__o0|t5c10|46|0|0|0.025516|0.025512|0.0914343|55194|YES|pinn
rev2609_t5c11__s42__o0|t5c11|42|0|0|0.0311453|0.0311437|0.0712406|53917|YES|pinn
rev2609_t5c11__s43__o0|t5c11|43|0|0|0.0202584|0.0202574|0.0882957|52381|YES|pinn
rev2609_t5c11__s44__o0|t5c11|44|0|0|0.0253806|0.0253757|0.0793117|54119|YES|pinn
rev2609_t5c11__s45__o0|t5c11|45|0|0|0.0222864|0.0222853|0.106671|54480|YES|pinn
rev2609_t5c11__s46__o0|t5c11|46|0|0|0.0243759|0.0243689|0.10002|53385|YES|pinn
rev2609_t5c12__s42__o0|t5c12|42|0|0|0.0333231|0.0333216|0.0745977|53362|YES|pinn
rev2609_t5c12__s43__o0|t5c12|43|0|0|0.0213297|0.0213289|0.0920669|53676|YES|pinn
rev2609_t5c12__s44__o0|t5c12|44|0|0|0.0273224|0.0273176|0.0831773|52724|YES|pinn
rev2609_t5c12__s45__o0|t5c12|45|0|0|0.0241723|0.0241713|0.110037|52770|YES|pinn
rev2609_t5c12__s46__o0|t5c12|46|0|0|0.0265107|0.0265029|0.103302|53453|YES|pinn
rev2609_t5c13__s42__o0|t5c13|42|0|0|0.536089|0.536129|12.7332|52721|YES|pinn
rev2609_t5c13__s43__o0|t5c13|43|0|0|0.520939|0.520949|11.7966|52679|YES|pinn
rev2609_t5c13__s44__o0|t5c13|44|0|0|0.499098|0.49914|10.8674|52646|YES|pinn
rev2609_t5c13__s45__o0|t5c13|45|0|0|0.519694|0.519716|12.4926|52797|YES|pinn
rev2609_t5c13__s46__o0|t5c13|46|0|0|0.521808|0.521821|12.2543|52761|YES|pinn
rev2609_t5c14__s42__o0|t5c14|42|0|0|0.140224|0.140302|0.0751324|53242|YES|pinn
rev2609_t5c14__s43__o0|t5c14|43|0|0|0.117186|0.117282|0.0850408|53137|YES|pinn
rev2609_t5c14__s44__o0|t5c14|44|0|0|0.14413|0.144217|0.0863864|53019|YES|pinn
rev2609_t5c14__s45__o0|t5c14|45|0|0|0.134098|0.134185|0.103887|51653|YES|pinn
rev2609_t5c14__s46__o0|t5c14|46|0|0|0.145029|0.145114|0.0970624|53023|YES|pinn
rev2609_t5c15__s42__o0|t5c15|42|0|0|0.0413593|0.0248086|0.0391551|107199|YES|pinn
rev2609_t5c15__s43__o0|t5c15|43|0|0|0.035578|0.0242776|0.0294634|107960|YES|pinn
rev2609_t5c15__s44__o0|t5c15|44|0|0|0.0441386|0.0294604|0.0443897|108863|YES|pinn
rev2609_t5c15__s45__o0|t5c15|45|0|0|0.0412065|0.0280752|0.0310036|105976|YES|pinn
rev2609_t5c15__s46__o0|t5c15|46|0|0|0.0397093|0.0256951|0.0358565|107791|YES|pinn
rev2609_t5c16__s43__o0|t5c16|43|0|0|0.0333552|0.0235463|0.0325083|109992|YES|pinn
rev2609_t5c16__s44__o0|t5c16|44|0|0|0.0415432|0.0283367|0.0407235|110270|YES|pinn
rev2609_t5c16__s45__o0|t5c16|45|0|0|0.0377991|0.0264186|0.0313089|109213|YES|pinn
rev2609_t5c16__s46__o0|t5c16|46|0|0|0.036742|0.0243237|0.0346988|110216|YES|pinn
rev2609_t5c17__s42__o0|t5c17|42|0|0|0.040138|0.0237191|0.0306958|114107|YES|pinn
rev2609_t5c17__s43__o0|t5c17|43|0|0|0.0337549|0.0236738|0.0314267|113000|YES|pinn
