阶段,轮次,总损失,验证_rel_l2_u,验证_rel_l2_v,验证_rel_l2_p,验证_rel_l2_speed,验证_max_speed_err_over_speed_max,验证_max_p_err_over_p_range,验证_p95_speed_err_over_speed_max,验证_p95_p_err_over_p_range,速度监督损失,速度_u损失,速度_v损失,壁面损失,入口流量损失,连续性损失,动量损失,速度阶段连续性权重,速度阶段动量权重,压力监督损失,出口压力损失,压降损失,压力阶段动量权重,耦合_速度监督损失,耦合_压力监督损失,耦合_壁面损失,耦合_入口流量损失,耦合_出口压力损失,耦合_压降损失,耦合_连续性损失,耦合_动量损失,耦合_平均散度绝对值,耦合_最大散度绝对值
第一阶段_速度模型,1,0.8828171491622925,0.7392970323562622,0.6945840120315552,0.4981328248977661,0.47109705209732056,0.5942909717559814,0.5403895974159241,0.534564197063446,0.49027740955352783,0.0,0.0,0.0,0.7468210458755493,0.27199092507362366,6.549787485710112e-06,5.224062078923453e-06,0.1,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,2,0.7443647980690002,0.7181155681610107,0.66376793384552,0.4981328248977661,0.44144105911254883,0.5358571410179138,0.5403895974159241,0.4852946102619171,0.49027740955352783,0.0,0.0,0.0,0.6194567680358887,0.24981430172920227,9.220147148880642e-06,5.417187821876723e-06,0.1,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,3,0.621924102306366,0.6972844004631042,0.6357014179229736,0.4981328248977661,0.4135955572128296,0.480964332818985,0.5403895974159241,0.43517592549324036,0.49027740955352783,0.0,0.0,0.0,0.5078580379486084,0.22812961041927338,1.2740257261611987e-05,5.618508112092968e-06,0.1,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,4,0.5132990479469299,0.6767659187316895,0.6104094386100769,0.4981328248977661,0.38747307658195496,0.43495917320251465,0.5403895974159241,0.39020347595214844,0.49027740955352783,0.0,0.0,0.0,0.4098755717277527,0.20684349536895752,1.7241869500139728e-05,5.8297346186009236e-06,0.1,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,5,0.41686829924583435,0.6565414667129517,0.5880374312400818,0.4981328248977661,0.36313533782958984,0.392018586397171,0.5403895974159241,0.36377042531967163,0.49027740955352783,0.0,0.0,0.0,0.32389718294143677,0.18593767285346985,2.2876434741192497e-05,6.053536708350293e-06,0.1,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,6,0.331617534160614,0.6366557478904724,0.5688697099685669,0.4981328248977661,0.34083083271980286,0.38398727774620056,0.5403895974159241,0.3461682200431824,0.49027740955352783,0.0,0.0,0.0,0.24891459941864014,0.16539987921714783,2.9837063266313635e-05,6.291805675573414e-06,0.1,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,7,0.257131963968277,0.6172685027122498,0.5533086061477661,0.4981328248977661,0.3210429847240448,0.3771745264530182,0.5403895974159241,0.33206939697265625,0.49027740955352783,0.0,0.0,0.0,0.18448902666568756,0.14527815580368042,3.835446113953367e-05,6.545412361447234e-06,0.1,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,8,0.19354158639907837,0.5986925363540649,0.5418028831481934,0.4981328248977661,0.30450209975242615,0.37403836846351624,0.5403895974159241,0.3256067931652069,0.49027740955352783,0.0,0.0,0.0,0.13070426881313324,0.12566488981246948,4.871205965173431e-05,6.814297194068786e-06,0.1,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,9,0.14141236245632172,0.5814259052276611,0.5347098708152771,0.4981328248977661,0.2921072542667389,0.37386515736579895,0.5403895974159241,0.3206944763660431,0.49027740955352783,0.0,0.0,0.0,0.08806193619966507,0.10668860375881195,6.125502841314301e-05,7.097255547705572e-06,0.1,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,10,0.1015506163239479,0.5661700367927551,0.5320903658866882,0.4981328248977661,0.28466349840164185,0.37479686737060547,0.5403895974159241,0.3192395865917206,0.49027740955352783,0.0,0.0,0.0,0.0572848804295063,0.08851620554924011,7.637117232661694e-05,7.391077360807685e-06,0.1,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,11,0.0746598169207573,0.5537856817245483,0.5334635376930237,0.4981328248977661,0.2823405861854553,0.38132408261299133,0.5403895974159241,0.3189564347267151,0.49027740955352783,0.0,0.0,0.0,0.038967717438936234,0.07136532664299011,9.441302972845733e-05,7.688838195463177e-06,0.1,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,12,0.06077820435166359,0.5451009273529053,0.5376231670379639,0.4981328248977661,0.2839418351650238,0.38742709159851074,0.5403895974159241,0.3249369263648987,0.49027740955352783,0.0,0.0,0.0,0.03300609439611435,0.05552111193537712,0.00011551637726370245,7.977590939844958e-06,0.1,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,13,0.05853310972452164,0.5405289530754089,0.5427291989326477,0.4981328248977661,0.2871326208114624,0.3940395712852478,0.5403895974159241,0.33389395475387573,0.49027740955352783,0.0,0.0,0.0,0.03785093128681183,0.04133648797869682,0.00013930813292972744,8.237166184699163e-06,0.1,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,14,0.06459292769432068,0.5396822690963745,0.546848714351654,0.4981328248977661,0.2898994982242584,0.40069034695625305,0.5403895974159241,0.3402889370918274,0.49027740955352783,0.0,0.0,0.0,0.04998248070478439,0.029187960550189018,0.00016468534886371344,8.443593287665863e-06,0.1,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,15,0.07405275106430054,0.541391134262085,0.5486778616905212,0.4981328248977661,0.2915925085544586,0.4041559100151062,0.5403895974159241,0.34305456280708313,0.49027740955352783,0.0,0.0,0.0,0.0643472969532013,0.01937291957437992,0.00018994063430000097,8.57878058013739e-06,0.1,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,16,0.08199125528335571,0.5442097187042236,0.5478832125663757,0.4981328248977661,0.2921031713485718,0.40461909770965576,0.5403895974159241,0.3439844846725464,0.49027740955352783,0.0,0.0,0.0,0.07597162574529648,0.011996623128652573,0.0002131638757418841,8.639171937829815e-06,0.1,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,17,0.08516392111778259,0.5469687581062317,0.5449368357658386,0.4981328248977661,0.29138824343681335,0.4025936722755432,0.5403895974159241,0.3426131010055542,0.49027740955352783,0.0,0.0,0.0,0.08168264478445053,0.006916017271578312,0.00023265556956175715,8.63566037878627e-06,0.1,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,18,0.08263444900512695,0.5490312576293945,0.5407349467277527,0.4981328248977661,0.2896020710468292,0.3986521065235138,0.5403895974159241,0.33946871757507324,0.49027740955352783,0.0,0.0,0.0,0.08072933554649353,0.003760792315006256,0.00024721198133192956,8.58726525621023e-06,0.1,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,19,0.0752943605184555,0.5502707958221436,0.5362480282783508,0.4981328248977661,0.28700295090675354,0.39672085642814636,0.5403895974159241,0.33378687500953674,0.49027740955352783,0.0,0.0,0.0,0.07425614446401596,0.0020251937676221132,0.0002562483714427799,8.51462573336903e-06,0.1,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,20,0.06495975703001022,0.5509154200553894,0.5322937965393066,0.4981328248977661,0.2838720679283142,0.40230846405029297,0.5403895974159241,0.32898345589637756,0.49027740955352783,0.0,0.0,0.0,0.06433750689029694,0.001192537136375904,0.0002597836428321898,8.435855306743179e-06,0.1,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,21,0.053588397800922394,0.551365852355957,0.5294322967529297,0.4981328248977661,0.28047001361846924,0.4028964638710022,0.5403895974159241,0.3250582814216614,0.49027740955352783,0.0,0.0,0.0,0.053140029311180115,0.0008450636523775756,0.00025833770632743835,8.36472463561222e-06,0.1,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,22,0.042795613408088684,0.5520402193069458,0.5279510617256165,0.4981328248977661,0.27702435851097107,0.39972010254859924,0.5403895974159241,0.32194727659225464,0.49027740955352783,0.0,0.0,0.0,0.042408138513565063,0.0007243870641104877,0.00025278577231802046,8.31045053928392e-06,0.1,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,23,0.03364623710513115,0.5532651543617249,0.5279045104980469,0.4981328248977661,0.2737199664115906,0.39412328600883484,0.5403895974159241,0.3190961182117462,0.49027740955352783,0.0,0.0,0.0,0.03325626626610756,0.0007311009685508907,0.00024419903638772666,8.278269888251089e-06,0.1,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,24,0.026640761643648148,0.5552175641059875,0.5291810631752014,0.4981328248977661,0.2706761658191681,0.3874744474887848,0.5403895974159241,0.31587743759155273,0.49027740955352783,0.0,0.0,0.0,0.026178831234574318,0.0008771248394623399,0.00023369595874100924,8.270294529211242e-06,0.1,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,25,0.02181224152445793,0.5579132437705994,0.5315753817558289,0.4981328248977661,0.2679346799850464,0.38108476996421814,0.5403895974159241,0.31261852383613586,0.49027740955352783,0.0,0.0,0.0,0.021181046962738037,0.0012179238256067038,0.00022232395713217556,8.286418960778974e-06,0.1,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,26,0.018869269639253616,0.5612325668334961,0.5348518490791321,0.4981328248977661,0.26546987891197205,0.3761439025402069,0.5403895974159241,0.3094208538532257,0.49027740955352783,0.0,0.0,0.0,0.017952507361769676,0.0017913286574184895,0.0002109822817146778,8.325140697706956e-06,0.1,0.0,,,,,,,,,,,,,,
第一阶段_速度模型,27,0.01734139211475849,0.5649674534797668,0.5387896299362183,0.4981328248977661,0.26321613788604736,0.37367093563079834,0.5403895974159241,0.30633169412612915,0.49027740955352783,0.0,0.0,0.0,0.016031375154852867,0.0025799572467803955,0.00020038679940626025,8.3842078311136e-06,0.1,0.0,,,,,,,,,,,,,,
