strategy,run_name,split,num_cases,mean_rel_l2_speed,mean_rel_l2_p,mean_pressure_drop_rel_error,mean_mae_u,mean_mae_v,mean_mae_p
region-aware,contraction_independent_geometry_sparse5clean_stagepde_v4,val,1,0.028904156759381294,0.12548905611038208,0.10407305197233215,0.029692789539694786,0.0009220816427841783,97.00460815429688
region-aware,contraction_independent_geometry_sparse5clean_stagepde_v4,test,2,0.03370740357786417,0.19239028356969357,0.19945266536741152,0.03405792638659477,0.0008337247127201408,264.95712089538574
uniform,contraction_independent_geometry_uniform5clean_stagepde_v4,val,1,0.023380670696496964,0.11988795548677444,0.09563795342222604,0.022193608805537224,0.0007497610640712082,95.0226058959961
uniform,contraction_independent_geometry_uniform5clean_stagepde_v4,test,2,0.02406579814851284,0.18918643705546856,0.19199056828118333,0.023655940778553486,0.0008717536984477192,266.52828311920166
