setting,rel_l2_speed,rel_l2_p,max_speed_err,max_p_err
dense,0.01915716379880905,0.01407699566334486,0.11210694909095764,0.029809070751070976
1%,0.02169496938586235,0.018138103187084198,0.12220461666584015,0.030481336638331413
5%,0.020283851772546768,0.01463650818914175,0.11423111706972122,0.02946147322654724
10%,0.020215237513184547,0.014357512816786766,0.12361335754394531,0.030332054942846298
15%,0.01966819539666176,0.014319349080324173,0.11991506814956665,0.031449947506189346
