setting,val_rel_l2_speed,val_rel_l2_p,test_rel_l2_speed,test_rel_l2_p
dense_stagepde,0.022112878039479256,0.10409148037433624,0.02796809282153845,0.18095440976321697
sparse5_noise3_stagepde,0.029383419081568718,0.1266179084777832,0.032726943492889404,0.19276614487171173
