setting,speed_stage_rel_l2_p,pressure_stage_rel_l2_p,final_rel_l2_speed,final_rel_l2_p,final_max_p_err
no_stagepde,0.7103986144065857,0.17447775602340698,0.022100141271948814,0.12057878822088242,0.18073974549770355
stagepde,0.7103986144065857,0.1744460165500641,0.022112878039479256,0.10409148037433624,0.1459893137216568
