strategy,run_name,split,case_id,rel_l2_speed,rel_l2_p,pressure_drop_rel_error,mae_u,mae_v,mae_p
region-aware,contraction_independent_geometry_sparse5clean_stagepde_v4,val,C-val,0.028904156759381294,0.12548905611038208,0.10407305197233215,0.029692789539694786,0.0009220816427841783,97.00460815429688
region-aware,contraction_independent_geometry_sparse5clean_stagepde_v4,test,C-test-1,0.01912805251777172,0.05461732670664787,0.05483832352047459,0.018882639706134796,0.0004893295117653906,22.22750473022461
region-aware,contraction_independent_geometry_sparse5clean_stagepde_v4,test,C-test-2,0.04828675463795662,0.33016324043273926,0.34406700721434846,0.04923321306705475,0.001178119913674891,507.6867370605469
uniform,contraction_independent_geometry_uniform5clean_stagepde_v4,val,C-val,0.023380670696496964,0.11988795548677444,0.09563795342222604,0.022193608805537224,0.0007497610640712082,95.0226058959961
uniform,contraction_independent_geometry_uniform5clean_stagepde_v4,test,C-test-1,0.01633656769990921,0.046115752309560776,0.056317279944038984,0.014892695471644402,0.0003683828399516642,19.31022834777832
uniform,contraction_independent_geometry_uniform5clean_stagepde_v4,test,C-test-2,0.03179502859711647,0.33225712180137634,0.3276638566183277,0.03241918608546257,0.0013751245569437742,513.746337890625
