x_star,y_star,u_star,v_star,p_star,bc_tag
0.123413,-0.0518627,1.48386,-2.3089e-09,983.772,0
0.236839,-0.0866116,1.45499,-4.76969e-09,982.411,0
0.20316,-0.0448595,1.48793,-2.45201e-09,982.815,0
0.352556,-0.0931927,1.44789,-5.093e-09,981.022,0
0.29273,-0.0593161,1.47889,-3.36478e-09,981.74,0
0.44617,-0.267794,1.06972,-1.00807e-08,979.899,0
0.446261,-0.184206,1.29641,-8.54817e-09,979.898,0
0.427063,-0.0792023,1.46236,-4.2357e-09,980.128,0
0.507261,-0.409091,0.495868,-6.76132e-09,979.166,0
0.507261,-0.5,1.77398e-31,-2.89503e-29,979.166,3
0.523388,-0.318182,0.892562,-9.63251e-09,978.972,0
0.161103,-0.0278238,1.49536,-1.41565e-09,983.32,0
0,-0.0632036,1.47603,-2.97229e-40,985.253,1
0,-0.0379221,1.49137,-1.7921e-40,985.253,1
0.0188574,-0.0307583,1.49432,-3.05728e-10,985.027,0
0.0394364,-0.0272139,1.49556,-5.26759e-10,984.78,0
0.0620158,-0.0194687,1.49773,-5.47966e-10,984.509,0
0.0932778,-0.0113742,1.49922,-4.30897e-10,984.134,0
0.128246,-0.00232006,1.49997,-1.08248e-10,983.714,0
0.236831,-0.0261656,1.49589,-1.48175e-09,982.411,0
0.187308,0.00320352,1.49994,1.72941e-10,983.005,0
0.355888,-0.0284718,1.49514,-1.60794e-09,980.982,0
0.292729,-0.00377013,1.49991,-2.16152e-10,981.74,0
0.507261,-0.227273,1.19008,-9.37722e-09,979.166,0
0.507261,-0.136364,1.38843,-6.64182e-09,979.166,0
0.485525,-0.0188163,1.49788,-1.00845e-09,979.427,0
0.427054,0.00628376,1.49976,3.44823e-10,980.128,0
0.59596,-0.318182,0.892562,-9.48009e-09,978.102,0
0.59596,-0.409091,0.495868,-6.68626e-09,978.102,0
0.59596,-0.5,1.77398e-31,-2.89189e-29,978.102,3
0.59596,-0.227273,1.19008,-9.13467e-09,978.102,0
0.0394364,-0.00129932,1.49999,-2.50448e-11,984.78,0
0,-0.0126407,1.49904,-5.98761e-41,985.253,1
0.0188574,-0.00641671,1.49975,-6.30905e-11,985.027,0
0.0620158,0.0110953,1.49926,3.12277e-10,984.509,0
0.104492,0.0243359,1.49645,9.89386e-10,983.999,0
0.143376,0.0292569,1.49486,1.41479e-09,983.533,0
0.241272,0.0227061,1.49691,1.28871e-09,982.358,0
0.187307,0.0522194,1.48364,2.78137e-09,983.005,0
0.352557,0.0409392,1.48994,2.30658e-09,981.022,0
0.292728,0.0517758,1.48392,2.94615e-09,981.74,0
0.423209,0.0799701,1.46163,4.28051e-09,980.175,0
0.59596,-0.136364,1.38843,-6.44285e-09,978.102,0
0.547579,-0.0454546,1.4876,-2.35143e-09,978.682,0
0.507261,0.0454545,1.4876,2.38972e-09,979.166,0
0.668532,-0.318182,0.892562,-9.38002e-09,977.231,0
0.676596,-0.409091,0.495868,-6.64667e-09,977.134,0
0.684659,-0.5,1.77398e-31,-2.88874e-29,977.037,3
0.684659,-0.227273,1.19008,-8.9764e-09,977.037,0
0.507261,0.136364,1.38843,6.64424e-09,979.166,0
0.0394364,0.0246153,1.49636,4.76671e-10,984.78,0
0,0.0126407,1.49904,5.98572e-41,985.253,1
0.0188574,0.0307583,1.49432,3.04829e-10,985.027,0
0.0620158,0.0416593,1.48959,1.16906e-09,984.509,0
0.095472,0.0606626,1.47792,2.31115e-09,984.107,0
0.143376,0.0696351,1.47091,3.32285e-09,983.533,0
0.203159,0.0895016,1.45194,4.78506e-09,982.815,0
0.245714,0.0715778,1.46926,4.00065e-09,982.304,0
0.349227,0.11035,1.42694,5.94042e-09,981.062,0
0.292727,0.107322,1.43089,5.87547e-09,981.74,0
0.417627,0.160395,1.34564,7.86019e-09,980.242,0
