sample_id,case_id,family,x_star,y_star,u_star,v_star,p_star,speed_star,region_id,wall_distance_star,is_boundary,boundary_type
268,B-train-2__ip_blunted,bend,8.91136,10.7064,-6.65128e-12,1.45285,3.52319,1.45285,1,0.41135999999999984,0,interior
269,B-train-2__ip_blunted,bend,8.8382,10.7127,-1.72443e-11,1.34293,3.44789,1.34293,1,0.33820000000000017,0,interior
270,B-train-2__ip_blunted,bend,8.86411,10.6914,-1.50921e-11,1.3892,3.70331,1.3892,1,0.3641099999999998,0,interior
271,B-train-2__ip_blunted,bend,8.81111,10.702,-2.14786e-11,1.28592,3.5757,1.28592,1,0.311109999999999,0,interior
272,B-train-2__ip_blunted,bend,8.61601,10.7164,-2.34403e-11,0.615309,3.40335,0.615309,2,0.11600999999999895,0,interior
273,B-train-2__ip_blunted,bend,8.67109,10.7349,-2.50368e-11,0.850903,3.18099,0.850903,1,0.1710899999999992,0,interior
274,B-train-2__ip_blunted,bend,8.70346,10.7065,-2.83301e-11,0.972395,3.52159,0.972395,1,0.20345999999999942,0,interior
275,B-train-2__ip_blunted,bend,8.75035,10.6977,-2.74862e-11,1.12604,3.62804,1.12604,1,0.25034999999999885,0,interior
276,B-train-2__ip_blunted,bend,8.78402,10.6914,-2.53843e-11,1.22011,3.70351,1.22011,1,0.2840199999999996,0,interior
277,B-train-2__ip_blunted,bend,8.64459,10.7064,-2.68399e-11,0.742087,3.52349,0.742087,2,0.14459000000000055,0,interior
278,B-train-2__ip_blunted,bend,8.5,10.7326,-4.8649800000000005e-32,9.0965e-32,3.20891,1.0315732773312811e-31,2,0.0,1,wall
279,B-train-2__ip_blunted,bend,8.52883,10.7194,-8.02528e-12,0.167974,3.36713,0.167974,2,0.028829999999998912,0,interior
280,B-train-2__ip_blunted,bend,8.5632,10.7042,-1.64777e-11,0.355245,3.54975,0.355245,2,0.06319999999999981,0,interior
281,B-train-2__ip_blunted,bend,8.59456,10.6877,-2.32117e-11,0.513689,3.74797,0.513689,2,0.0945599999999992,0,interior
282,B-train-2__ip_blunted,bend,9.23303,10.7357,3.53414e-11,1.17419,3.17201,1.17419,1,0.26697000000000093,0,interior
283,B-train-2__ip_blunted,bend,8.99889,10.7183,8.47726e-12,1.49999,3.38058,1.49999,1,0.49888999999999906,0,interior
284,B-train-2__ip_blunted,bend,8.94972,10.6943,-3.64423e-13,1.48483,3.66885,1.48483,1,0.4497199999999989,0,interior
285,B-train-2__ip_blunted,bend,9.18974,10.7196,3.443e-11,1.28398,3.36435,1.28398,1,0.31025999999999987,0,interior
286,B-train-2__ip_blunted,bend,9.15919,10.7032,3.30377e-11,1.34795,3.56209,1.34795,1,0.3408099999999997,0,interior
287,B-train-2__ip_blunted,bend,9.11981,10.6976,2.85532e-11,1.41388,3.62889,1.41388,1,0.380190000000001,0,interior
288,B-train-2__ip_blunted,bend,9.07977,10.6931,2.2775e-11,1.46182,3.6825,1.46182,1,0.42023000000000044,0,interior
289,B-train-2__ip_blunted,bend,9.02783,10.6795,1.41811e-11,1.49535,3.84564,1.49535,1,0.47217000000000053,0,interior
290,B-train-2__ip_blunted,bend,9.37123,10.9581,1.28707e-11,0.673145,0.503041,0.673145,2,0.12876999999999977,0,interior
291,B-train-2__ip_blunted,bend,9.38171,10.9787,1.15961e-11,0.625778,0.256028,0.625778,2,0.1182900000000004,0,interior
292,B-train-2__ip_blunted,bend,9.36615,10.9292,1.4408e-11,0.695602,0.849029,0.695602,2,0.13385000000000108,0,interior
293,B-train-2__ip_blunted,bend,9.34992,10.7902,2.66417e-11,0.765344,2.51775,0.765344,1,0.1500800000000012,0,interior
294,B-train-2__ip_blunted,bend,9.35601,10.8705,1.8979e-11,0.739525,1.55445,0.739525,2,0.14399000000000084,0,interior
295,B-train-2__ip_blunted,bend,9.35368,10.8363,2.20099e-11,0.749475,1.96431,0.749475,2,0.14631999999999967,0,interior
296,B-train-2__ip_blunted,bend,9.37279,10.8902,1.61529e-11,0.666149,1.31708,0.666149,2,0.12721000000000016,0,interior
297,B-train-2__ip_blunted,bend,9.38628,11.0,1.1117e-11,0.60472,-9.397989999999999e-45,0.60472,2,0.1137200000000011,1,outlet
298,B-train-2__ip_blunted,bend,9.35712,10.7442,3.05641e-11,0.734802,3.06911,0.734802,2,0.14288000000000023,0,interior
299,B-train-2__ip_blunted,bend,9.32891,10.7349,3.40427e-11,0.850903,3.18099,0.850903,1,0.17108999999999985,0,interior
300,B-train-2__ip_blunted,bend,9.25871,10.707,3.91456e-11,1.09841,3.51655,1.09841,1,0.24128999999999967,0,interior
301,B-train-2__ip_blunted,bend,9.29654,10.7065,3.88822e-11,0.972395,3.52159,0.972395,1,0.20346000000000009,0,interior
302,B-train-2__ip_blunted,bend,8.91942,10.6688,-6.74727e-12,1.46104,3.97407,1.46104,1,0.41942000000000024,0,interior
