x_star,y_star,u_star,v_star,p_star,bc_tag
0,-0.0551831,1.24981,6.5823e-33,192.503,1
0,-0.0827746,1.24906,9.68517e-33,192.822,1
0,-0.110366,1.24703,1.25117e-32,193.25,1
0.0197,-0.0746837,1.25151,0.0166427,192.891,0
0,-0.137958,1.24276,1.50367e-32,193.791,1
0,-0.0275915,1.24999,3.34677e-33,192.314,1
0,0.0551831,1.24981,-6.58061e-33,192.504,1
0,0.0275915,1.24999,-3.34578e-33,192.314,1
0,4.31753e-17,1.25,-1.34895e-36,192.252,1
0,0.193141,1.22217,-1.87867e-32,195.156,1
0,0.137958,1.24276,-1.50698e-32,193.773,1
0,0.110366,1.24703,-1.25125e-32,193.256,1
0,0.0827746,1.24906,-9.6893e-33,192.821,1
0,0.303507,1.08029,-1.89805e-32,198.615,1
0,0.248324,1.17395,-2.02275e-32,196.834,1
0,0.275915,1.13409,-1.99475e-32,197.718,1
0.0197,-0.0483018,1.25216,0.0109627,192.658,0
0.0199192,-0.129583,1.24609,0.0272392,193.699,0
0.0208589,-0.102142,1.25,0.0232172,193.255,0
0.0398417,-0.0694762,1.25767,0.0275721,192.973,0
0,-0.165549,1.23498,1.71135e-32,194.434,1
0.0202011,-0.158364,1.23888,0.0319129,194.278,0
0,0.331098,1.00964,-1.72563e-32,199.499,1
0.0202378,0.326043,1.02252,-0.0331323,198.686,0
0.0197,0.0746837,1.25151,-0.0166455,192.89,0
0.0195247,-0.0197278,1.25231,0.00446282,192.501,0
0.0197,0.0483017,1.25216,-0.0109615,192.658,0
0.0195247,0.0197278,1.25231,-0.00446398,192.502,0
0,0.220732,1.20252,-1.96865e-32,195.955,1
0.018994,0.185851,1.22708,-0.0333673,194.891,0
0,0.165549,1.23498,-1.70475e-32,194.428,1
0.0188543,0.130864,1.24568,-0.0261991,193.718,0
0.0199192,0.103352,1.24971,-0.0225352,193.266,0
0.0192809,0.240867,1.18281,-0.0368341,196.325,0
0.0196776,0.295783,1.09608,-0.0356169,197.869,0
0.0212742,0.268345,1.14592,-0.0397756,197.072,0
0.0393663,-0.0397759,1.25839,0.0159512,192.757,0
0.0393663,-0.0132587,1.25866,0.00535674,192.661,0
0.0404081,-0.149349,1.24569,0.0534836,194.082,0
0.0422498,-0.122002,1.25291,0.0473898,193.626,0
0.060466,-0.0911581,1.2646,0.0467668,193.262,0
0.059653,-0.0602737,1.26689,0.0316014,192.991,0
0,-0.193141,1.22217,1.87297e-32,195.164,1
0.018994,-0.185851,1.2271,0.0333658,194.9,0
0.0583882,-0.173843,1.24014,0.0751796,194.456,0
0,0.35869,0.91894,-1.48544e-32,200.309,1
0,0.386281,0.804708,-1.17796e-32,201.01,1
0.0202378,0.35047,0.946306,-0.0290981,199.277,0
0.0403531,0.316658,1.04412,-0.058239,197.825,0
0.0398417,0.0694762,1.25767,-0.0275755,192.973,0
0.0393663,0.0132586,1.25866,-0.00535587,192.66,0
0.0393663,0.0397759,1.25839,-0.0159531,192.757,0
0.060466,0.0911581,1.2646,-0.0467729,193.262,0
0.0387073,0.206921,1.21576,-0.0621825,195.259,0
0.0411047,0.179481,1.23353,-0.0607818,194.655,0
0.0383061,0.152011,1.24435,-0.0521104,194.124,0
0.0404081,0.124518,1.25187,-0.0466234,193.661,0
0.0421048,0.25831,1.16016,-0.0678641,196.437,0
0.0421048,0.234431,1.19053,-0.0679885,195.865,0
0.0627437,0.224101,1.2026,-0.0865553,195.386,0
0.0604741,0.283884,1.11465,-0.081899,196.622,0
0.059653,-0.0301368,1.26804,0.016063,192.838,0
0.059653,-7.3108e-09,1.26836,8.81749e-07,192.781,0
0.0806189,-0.0814577,1.27603,0.0490833,193.188,0
0.0642138,-0.142396,1.25519,0.069778,193.917,0
0.0817037,-0.113485,1.27068,0.0659651,193.501,0
0.101989,-0.0441644,1.293,0.0300139,192.972,0
0,-0.220732,1.20252,1.97641e-32,195.966,1
0.0206166,-0.213359,1.20923,0.0380089,195.59,0
0.0411047,-0.203908,1.21827,0.0645007,195.178,0
0.08324,-0.168765,1.24972,0.0883905,194.225,0
0.0791309,-0.196394,1.22997,0.0932289,194.681,0
0,0.5,-9.73386e-31,1.36527e-30,201.83,1
0,0.469056,0.281881,-1.60216e-33,202.075,1
0,0.413873,0.663189,-8.25631e-33,201.579,1
0,0.441464,0.490351,-4.40702e-33,201.898,1
0.021337,0.404808,0.710059,-0.0180392,200.324,0
0.021337,0.381711,0.822772,-0.0238165,199.936,0
0.0419226,0.371226,0.861397,-0.0429121,198.883,0
0.0239862,0.457889,0.367906,-0.00540639,200.587,0
0.0622745,0.338792,0.972796,-0.0676368,197.614,0
0.0824303,0.306813,1.05767,-0.0879176,196.547,0
0.059653,0.0602737,1.26688,-0.0316,192.991,0
0.059653,0.0301368,1.26804,-0.016066,192.837,0
0.0806189,0.0814577,1.27603,-0.0490746,193.188,0
0.0817037,0.113485,1.27068,-0.0659844,193.499,0
0.0627437,0.20134,1.22323,-0.0839893,194.934,0
0.0615036,0.1697,1.24306,-0.0764213,194.369,0
0.0615036,0.14631,1.25289,-0.0693978,193.982,0
0.0804803,0.25157,1.16809,-0.097594,195.636,0
0.0851486,0.223973,1.20428,-0.0995641,195.091,0
0.102596,0.275208,1.12394,-0.101781,195.619,0
0.112055,0.303029,1.05745,-0.0953856,195.81,0
0.101989,-0.0147215,1.29453,0.0101245,192.899,0
0.101989,0.0147214,1.29454,-0.0101186,192.9,0
0.125143,-0.0261451,1.3103,0.0187206,192.888,0
0.101989,-0.0736073,1.28964,0.0488305,193.119,0
0.103618,-0.157752,1.26271,0.0913501,193.937,0
0.101989,-0.10305,1.28368,0.0659379,193.355,0
0.107729,-0.130434,1.27761,0.080853,193.599,0
0.127641,-0.0574894,1.30869,0.0404818,192.987,0
0,-0.248324,1.17395,2.01815e-32,196.833,1
0.0206166,-0.239132,1.18481,0.0390012,196.269,0
0.0591865,-0.22881,1.19735,0.0840947,195.513,0
0.126088,-0.179995,1.25417,0.10147,194.012,0
