x_star,y_star,u_star,v_star,p_star,bc_tag
18,0.114167,1.91486,1.3872e-11,1.16606e-44,2
18,0.0887963,2.00493,1.14614e-11,1.51399e-44,2
18,0.190278,1.50952,1.70966e-11,-4.06462e-46,2
18,0.139537,1.80226,1.56318e-11,8.69563e-45,2
18,0.164907,1.66715,1.67429e-11,5.64541e-45,2
17.9803,0.107882,1.93927,1.35695e-11,0.688496,0
17.9803,0.131398,1.84084,1.5429e-11,0.68849,0
18,0.266389,0.901521,1.2657e-11,-1.35073e-44,2
18,0.241019,1.12671,1.48749e-11,-1.2616e-44,2
18,0.0634259,2.07249,8.56188e-12,1.89665e-44,2
17.9803,0.0843649,2.01835,1.11786e-11,0.688496,0
18,0.215648,1.32937,1.63946e-11,-1.15363e-44,2
17.9767,0.186064,1.53726,1.75774e-11,0.816676,0
17.9766,0.157786,1.70735,1.69746e-11,0.817023,0
17.9557,0.1038,1.95438,1.42517e-11,1.54892,0
17.9564,0.131124,1.8421,1.66834e-11,1.52696,0
17.9766,0.234202,1.18337,1.58424e-11,0.819216,0
18,0.291759,0.653817,9.75026e-12,-2.35906e-44,2
17.9766,0.263923,0.924392,1.32431e-11,0.819318,0
18,0.31713,0.383594,6.19016e-12,-2.76084e-44,2
18,0.0380556,2.11752,5.25697e-12,2.08772e-44,2
17.9795,0.0553948,2.08918,7.69565e-12,0.717799,0
17.9556,0.0755867,2.04291,1.09734e-11,1.55369,0
17.9581,0.210637,1.36674,1.83544e-11,1.46559,0
17.9473,0.180756,1.57132,1.97235e-11,1.84546,0
17.9271,0.140951,1.79533,2.01796e-11,2.5491,0
17.9277,0.0991503,1.97089,1.57881e-11,2.52916,0
18,0.35,1.56639e-31,2.78806e-42,-8.86824e-44,2
17.9435,0.260438,0.956363,1.59485e-11,1.97761,0
17.9736,0.295113,0.619384,9.69705e-12,0.922509,0
18,0.0126852,2.14004,1.72004e-12,2.05948e-44,2
17.9795,0.0314346,2.12557,4.44415e-12,0.717799,0
17.951,0.0455116,2.10662,7.02326e-12,1.71365,0
17.9299,0.0615118,2.07667,1.03072e-11,2.45093,0
17.9181,0.220644,1.29124,2.28336e-11,2.86428,0
17.8915,0.178855,1.58328,2.75138e-11,3.79542,0
17.8952,0.12663,1.86236,2.2832e-11,3.66674,0
17.8952,0.0796114,2.03199,1.58057e-11,3.66674,0
17.9232,0.35,3.46037e-31,7.58839e-32,2.68524,3
17.8852,0.290258,0.669097,1.83269e-11,4.01739,0
17.959,0.00789245,2.14177,1.17733e-12,1.4351,0
18,-0.0126852,2.14004,-1.57893e-12,1.31843e-44,2
17.9817,-0.00530724,2.14236,-6.44878e-13,0.640633,0
17.9169,0.0341182,2.12249,6.30692e-12,2.90746,0
17.8481,0.247163,1.07423,3.3106e-11,5.31396,0
17.8572,0.158735,1.7021,3.24746e-11,4.99582,0
17.813,0.196117,1.47006,4.38645e-11,6.54332,0
17.8468,0.1126,1.92107,2.77318e-11,5.35971,0
17.8285,0.0541342,2.09159,1.61049e-11,6.00002,0
17.864,0.0176755,2.13739,4.42802e-12,4.75921,0
17.8304,0.35,3.93028e-31,1.90403e-31,5.93206,3
17.8047,0.292121,0.650122,3.02123e-11,6.8315,0
17.9344,-0.0128833,2.13995,-2.19339e-12,2.29629,0
17.9607,-0.0259547,2.13107,-3.85743e-12,1.3758,0
18,-0.0380556,2.11752,-5.27892e-12,3.39957e-44,2
17.8952,-0.0144254,2.13922,-3.0143e-12,3.66672,0
17.8359,-0.0351711,2.12122,-1.01673e-11,5.73987,0
17.7613,0.239752,1.13736,5.26329e-11,8.34971,0
17.7613,0.154657,1.72445,5.15321e-11,8.35086,0
17.7882,0.0955993,1.98299,3.25052e-11,7.41121,0
17.775,0.0186324,2.13678,7.36142e-12,7.8725,0
17.7011,0.290631,0.665313,4.69278e-11,10.4559,0
17.7307,0.35,4.07261e-31,3.13401e-31,9.42287,3
17.9365,-0.04966,2.09972,-8.13674e-12,2.21985,0
17.9795,-0.0553948,2.08918,-7.80544e-12,0.717799,0
18,-0.0634259,2.07249,-8.64853e-12,1.85005e-44,2
17.8952,-0.0614438,2.07682,-1.25212e-11,3.66671,0
17.7613,-0.0613065,2.07711,-2.45832e-11,8.35161,0
17.8468,-0.0794504,2.03244,-2.07908e-11,5.35967,0
17.6879,0.19828,1.45513,7.30934e-11,10.9195,0
17.7011,0.106353,1.945,4.98625e-11,10.4568,0
17.7011,-0.00994647,2.14113,-4.98006e-12,10.4567,0
17.6166,0.25,1.04956,8.19029e-11,13.4124,0
17.6309,0.35,4.07261e-31,4.29505e-31,12.9137,3
