sample_id,case_id,family,sampling_tag,noise_tag,x_star,y_star,u_obs,v_obs,p_obs,region_id,wall_distance_star,segment_id_raw,xi_section_star,eta_section_star,section_width_star,u_obs_mask,v_obs_mask,p_obs_mask
1208,B-train-3,bend,section_bands_4,clean,1.90489,-0.0454546,,,172.688,0,0.4545454,0,1.90489,-0.0454546,0.08,0,0,1
1201,B-train-3,bend,section_bands_4,clean,1.90489,0.227273,,,172.688,0,0.272727,0,1.90489,0.227273,0.08,0,0,1
1202,B-train-3,bend,section_bands_4,clean,1.90489,0.272727,,,172.688,0,0.227273,0,1.90489,0.272727,0.08,0,0,1
1199,B-train-3,bend,section_bands_4,clean,1.90489,0.318182,,,172.688,0,0.1818179999999999,0,1.90489,0.318182,0.08,0,0,1
1198,B-train-3,bend,section_bands_4,clean,1.90489,0.363636,,,172.688,2,0.1363639999999999,0,1.90489,0.363636,0.08,0,0,1
1197,B-train-3,bend,section_bands_4,clean,1.90489,0.409091,,,172.688,2,0.090909,0,1.90489,0.409091,0.08,0,0,1
1196,B-train-3,bend,section_bands_4,clean,1.90489,0.454545,,,172.688,2,0.045455,0,1.90489,0.454545,0.08,0,0,1
1203,B-train-3,bend,section_bands_4,clean,1.91213,0.181818,,,172.601,0,0.3181819999999999,0,1.91213,0.181818,0.08,0,0,1
1209,B-train-3,bend,section_bands_4,clean,1.91626,-7.3108e-09,,,172.552,0,0.4999999926892,0,1.91626,-7.3108e-09,0.08,0,0,1
1204,B-train-3,bend,section_bands_4,clean,1.92143,0.136364,,,172.49,0,0.3636359999999999,0,1.92143,0.136364,0.08,0,0,1
1205,B-train-3,bend,section_bands_4,clean,1.9235,0.0909091,,,172.465,0,0.4090909,0,1.9235,0.0909091,0.08,0,0,1
1210,B-train-3,bend,section_bands_4,clean,1.92557,0.0454545,,,172.44,0,0.4545455,0,1.92557,0.0454545,0.08,0,0,1
1200,B-train-3,bend,section_bands_4,clean,1.93177,0.295455,,,172.366,0,0.2045449999999999,0,1.93177,0.295455,0.08,0,0,1
1236,B-train-3,bend,section_bands_4,clean,1.94004,-0.272727,,,172.267,0,0.227273,0,1.94004,-0.272727,0.08,0,0,1
1238,B-train-3,bend,section_bands_4,clean,1.94211,-0.318182,,,172.242,0,0.1818179999999999,0,1.94211,-0.318182,0.08,0,0,1
1229,B-train-3,bend,section_bands_4,clean,1.94211,-0.136364,,,172.242,0,0.3636359999999999,0,1.94211,-0.136364,0.08,0,0,1
1241,B-train-3,bend,section_bands_4,clean,1.95038,-0.454545,,,172.142,2,0.045455,0,1.95038,-0.454545,0.08,0,0,1
1242,B-train-3,bend,section_bands_4,clean,1.95038,-0.409091,,,172.142,2,0.090909,0,1.95038,-0.409091,0.08,0,0,1
1239,B-train-3,bend,section_bands_4,clean,1.95038,-0.363636,,,172.142,2,0.1363639999999999,0,1.95038,-0.363636,0.08,0,0,1
1237,B-train-3,bend,section_bands_4,clean,1.95038,-0.227273,,,172.142,0,0.272727,0,1.95038,-0.227273,0.08,0,0,1
1235,B-train-3,bend,section_bands_4,clean,1.95038,-0.181818,,,172.142,0,0.3181819999999999,0,1.95038,-0.181818,0.08,0,0,1
1231,B-train-3,bend,section_bands_4,clean,1.95038,-0.0909091,,,172.142,0,0.4090909,0,1.95038,-0.0909091,0.08,0,0,1
1232,B-train-3,bend,section_bands_4,clean,1.95038,-0.0454546,,,172.142,0,0.4545454,0,1.95038,-0.0454546,0.08,0,0,1
1230,B-train-3,bend,section_bands_4,clean,1.95038,-7.3108e-09,,,172.142,0,0.4999999926892,0,1.95038,-7.3108e-09,0.08,0,0,1
1224,B-train-3,bend,section_bands_4,clean,1.95038,0.181818,,,172.142,0,0.3181819999999999,0,1.95038,0.181818,0.08,0,0,1
1226,B-train-3,bend,section_bands_4,clean,1.95038,0.227273,,,172.142,0,0.272727,0,1.95038,0.227273,0.08,0,0,1
1221,B-train-3,bend,section_bands_4,clean,1.95038,0.363636,,,172.142,2,0.1363639999999999,0,1.95038,0.363636,0.08,0,0,1
1222,B-train-3,bend,section_bands_4,clean,1.95038,0.409091,,,172.142,2,0.090909,0,1.95038,0.409091,0.08,0,0,1
1220,B-train-3,bend,section_bands_4,clean,1.95038,0.454545,,,172.142,2,0.045455,0,1.95038,0.454545,0.08,0,0,1
1223,B-train-3,bend,section_bands_4,clean,1.95865,0.318182,,,172.043,0,0.1818179999999999,0,1.95865,0.318182,0.08,0,0,1
1225,B-train-3,bend,section_bands_4,clean,1.96071,0.272727,,,172.018,0,0.227273,0,1.96071,0.272727,0.08,0,0,1
1228,B-train-3,bend,section_bands_4,clean,1.96692,0.136364,,,171.944,0,0.3636359999999999,0,1.96692,0.136364,0.08,0,0,1
