x_star,y_star,u_star,v_star,p_star,bc_tag
0,-0.5,-1.39718e-30,-1.77467e-30,71.1357,1
0,-0.369529,0.680692,-3.64945e-40,71.1357,1
0,-0.246352,1.13586,-3.54544e-40,71.1357,1
0,0.369529,0.680692,3.28554e-40,71.1357,1
7.18198,-2.47487,5.32185e-32,-5.32185e-32,3.97587e-40,3
7.0896,-2.56726,0.240989,-0.240989,7.90893e-40,3
7.00252,-2.65434,0.401827,-0.401827,7.45744e-40,3
6.91544,-2.74142,0.498309,-0.498309,4.44016e-40,3
