sample_id,case_id,family,sampling_tag,noise_tag,x_star,y_star,u_obs,v_obs,p_obs,region_id,wall_distance_star,u_obs_mask,v_obs_mask,p_obs_mask
10467,B-base,bend,region_aware_5pct,clean,9.83664,11.9132,,,1.04136,1,0.3366399999999988,0,0,1
9884,B-base,bend,region_aware_5pct,clean,10.1364,11.2034,,,9.55944,1,0.3636000000000002,0,0,1
4125,B-base,bend,region_aware_5pct,clean,7.43888,0.911761,,,142.369,1,0.3586587966861012,0,0,1
9319,B-base,bend,region_aware_5pct,clean,9.90909,10.0767,,,23.0795,1,0.4090900000000006,0,0,1
2791,B-base,bend,region_aware_5pct,clean,4.91523,-0.00227922,,,174.295,1,0.4283443948339913,0,0,1
4637,B-base,bend,region_aware_5pct,clean,8.08087,1.62946,,,131.068,1,0.4795584994629838,0,0,1
10077,B-base,bend,region_aware_5pct,clean,10.2965,11.7065,,,3.52141,1,0.2035000000000003,0,0,1
6128,B-base,bend,region_aware_5pct,clean,9.67758,3.98319,,,96.5955,1,0.4748496091383734,0,0,1
5175,B-base,bend,region_aware_5pct,clean,8.62607,2.5741,,,117.936,1,0.256501928680299,0,0,1
4786,B-base,bend,region_aware_5pct,clean,8.3752,1.65708,,,128.332,1,0.3353159718928014,0,0,1
5948,B-base,bend,region_aware_5pct,clean,9.77739,3.59493,,,100.426,1,0.2419973700069437,0,0,1
9248,B-base,bend,region_aware_5pct,clean,9.95455,9.95888,,,24.4935,1,0.4545499999999991,0,0,1
3231,B-base,bend,region_aware_5pct,clean,5.693,0.5878,,,163.353,1,0.1708163292422018,0,0,1
3080,B-base,bend,region_aware_5pct,clean,5.41987,0.329389,,,167.52,1,0.3456701865757869,0,0,1
3184,B-base,bend,region_aware_5pct,clean,5.69309,0.120771,,,164.994,1,0.3818395425960759,0,0,1
5107,B-base,bend,region_aware_5pct,clean,8.72118,2.21943,,,120.658,1,0.4516737755557525,0,0,1
5372,B-base,bend,region_aware_5pct,clean,8.78369,2.87586,,,113.692,1,0.2134876175327447,0,0,1
2202,B-base,bend,region_aware_5pct,clean,3.85207,-0.318182,,,186.936,1,0.1818179999999999,0,0,1
4985,B-base,bend,region_aware_5pct,clean,8.46663,2.16009,,,123.172,1,0.3903049466899428,0,0,1
3798,B-base,bend,region_aware_5pct,clean,6.77054,0.649586,,,150.767,1,0.4748176904764118,0,0,1
5573,B-base,bend,region_aware_5pct,clean,9.00089,3.14894,,,109.34,1,0.2565131734149624,0,0,1
2364,B-base,bend,region_aware_5pct,clean,4.13399,-0.0236623,,,183.593,1,0.4748476513418111,0,0,1
