epoch,train_total,train_loss_u,train_loss_v,train_loss_p,train_loss_speed_tail,val_total,val_loss_u,val_loss_v,val_loss_p,val_loss_speed_tail,train_rel_l2_u,val_rel_l2_u,val_rel_l2_v,val_rel_l2_p,train_max_speed_err,train_max_p_err,val_max_speed_err,val_max_p_err,pressure_loss_p_effective,speed_tail_p_effective
1.0,2.063525676727295,0.9910004138946533,1.0138649940490723,0.0586603619158268,0.0,4.293417453765869,3.0854318141937256,0.9289569854736328,0.27902844548225403,0.0,0.37772297859191895,0.5599474310874939,1.0005735158920288,0.6572264432907104,0.5966650247573853,0.6711028814315796,0.5507506728172302,0.6918708086013794,16.0,12.0
2.0,1.9060415029525757,0.853935956954956,0.9940673112869263,0.058038245886564255,0.0,3.9582982063293457,2.7664668560028076,0.9143112897872925,0.27752020955085754,0.0,0.3506300449371338,0.5302150249481201,0.9926546812057495,0.655447781085968,0.5520762801170349,0.6667029857635498,0.5061015486717224,0.6890809535980225,16.0,12.0
3.0,1.7578825950622559,0.724925696849823,0.9755284786224365,0.05742839351296425,0.0,3.6205878257751465,2.4427151679992676,0.9017941355705261,0.2760785222053528,0.0,0.3230600357055664,0.49822521209716797,0.9858364462852478,0.6537430882453918,0.5103600025177002,0.662649929523468,0.45834529399871826,0.6867161989212036,16.0,12.0
4.0,1.6131457090377808,0.598156750202179,0.9581775069236755,0.05681139975786209,0.0,3.272045135498047,2.10568904876709,0.8916343450546265,0.2747216522693634,0.0,0.29345664381980896,0.46257951855659485,0.9802674651145935,0.6521345376968384,0.46541813015937805,0.6590335369110107,0.4231623411178589,0.684785008430481,16.0,12.0
5.0,1.4697966575622559,0.4716744124889374,0.9419407248497009,0.05618157610297203,0.0,2.9124104976654053,1.7547805309295654,0.8841575384140015,0.27347245812416077,0.0,0.26058992743492126,0.4222801625728607,0.9761486649513245,0.6506502032279968,0.4149179756641388,0.6558464765548706,0.4088493585586548,0.6833531260490417,16.0,12.0
6.0,1.3298957347869873,0.34754931926727295,0.9268078207969666,0.055538639426231384,0.0,2.5507752895355225,1.3987668752670288,0.8796838521957397,0.2723245322704315,0.0,0.2236890345811844,0.37701788544654846,0.9736760854721069,0.6492831707000732,0.3566528260707855,0.6531387567520142,0.40463677048683167,0.6824683547019958,16.0,12.0
7.0,1.2003228664398193,0.23265527188777924,0.9127860069274902,0.05488155782222748,0.0,2.208287477493286,1.0588659048080444,0.8781563639640808,0.2712652385234833,0.0,0.18301762640476227,0.3280271291732788,0.9728302955627441,0.6480191349983215,0.3064267635345459,0.6509350538253784,0.3987453281879425,0.6821433901786804,16.0,12.0
8.0,1.0934594869613647,0.1395307332277298,0.8997235894203186,0.05420522019267082,0.0,1.9194490909576416,0.7708914875984192,0.8783183097839355,0.27023935317993164,0.0,0.14173313975334167,0.2798890471458435,0.9729200601577759,0.6467925906181335,0.26123034954071045,0.6492149233818054,0.3909260332584381,0.6821998357772827,16.0,12.0
9.0,1.025743842124939,0.08530710637569427,0.8869423270225525,0.053494397550821304,0.0,1.7229387760162354,0.5774425864219666,0.8763836026191711,0.26911255717277527,0.0,0.11082278937101364,0.24223878979682922,0.9718479514122009,0.64544278383255,0.20990030467510223,0.6477789878845215,0.3813159167766571,0.6820701360702515,16.0,12.0
10.0,1.0080807209014893,0.08254939317703247,0.8728060126304626,0.052725356072187424,0.0,1.6265748739242554,0.4919503927230835,0.8669049143791199,0.2677196264266968,0.0,0.1090167984366417,0.2235887497663498,0.96657794713974,0.6437702178955078,0.1563124656677246,0.6460633873939514,0.3708076477050781,0.6851044297218323,16.0,12.0
11.0,1.024900197982788,0.1174720749258995,0.8555407524108887,0.051887352019548416,0.0,1.5837002992630005,0.46836230158805847,0.8493515253067017,0.2659864127635956,0.0,0.13004803657531738,0.21816256642341614,0.9567421674728394,0.6416829824447632,0.1841685026884079,0.6452937126159668,0.36101198196411133,0.6853614449501038,16.0,12.0
