sample_id,case_id,family,x_star,y_star,u_star,v_star,p_star,speed_star,region_id,wall_distance_star,is_boundary,boundary_type
45,B-train-1__ip_skewed_top,bend,0.0625667,0.0590622,1.54677,-0.0772471,233.063,1.5486976939862762,0,0.4409378,0,interior
46,B-train-1__ip_skewed_top,bend,0.0414972,0.0672111,1.55094,-0.0555487,233.458,1.5519344514739306,0,0.43278890000000003,0,interior
47,B-train-1__ip_skewed_top,bend,0.0398373,0.0946214,1.55428,-0.0520235,233.783,1.5551503988207218,0,0.40537860000000003,0,interior
48,B-train-1__ip_skewed_top,bend,0.0404037,0.124518,1.54516,-0.0501859,234.093,1.5459747896258884,0,0.375482,0,interior
49,B-train-1__ip_skewed_top,bend,0.0201988,0.158364,1.51985,-0.0254053,234.818,1.5200623183830622,0,0.341636,0,interior
50,B-train-1__ip_skewed_top,bend,0.0404037,0.149349,1.52707,-0.0476638,234.342,1.5278136740880544,0,0.350651,0,interior
51,B-train-1__ip_skewed_top,bend,0.0,0.165549,1.51244,-1.23549e-32,235.296,1.51244,0,0.334451,1,inlet
52,B-train-1__ip_skewed_top,bend,0.0,-0.441464,0.213877,-6.42308e-34,229.511,0.213877,2,0.05853599999999998,1,inlet
53,B-train-1__ip_skewed_top,bend,0.0,-0.469056,0.112405,-1.28607e-34,229.563,0.112405,2,0.030944000000000027,1,inlet
54,B-train-1__ip_skewed_top,bend,0.0,-0.413873,0.315892,-1.5453300000000002e-33,229.498,0.315892,2,0.08612700000000001,1,inlet
55,B-train-1__ip_skewed_top,bend,0.0,-0.386281,0.417846,-2.68306e-33,229.517,0.417846,2,0.11371900000000001,1,inlet
56,B-train-1__ip_skewed_top,bend,0.0,-0.35869,0.519134,-3.93785e-33,229.597,0.519134,2,0.14131,1,inlet
57,B-train-1__ip_skewed_top,bend,0.0403486,-0.294084,0.754018,-0.0261686,229.95,0.7544719610097913,0,0.205916,0,interior
58,B-train-1__ip_skewed_top,bend,0.0222025,-0.323166,0.648809,-0.0125056,229.794,0.6489295096636922,0,0.176834,0,interior
59,B-train-1__ip_skewed_top,bend,0.0644838,-0.256385,0.887278,-0.0469009,230.136,0.8885167098624595,0,0.24361500000000003,0,interior
60,B-train-1__ip_skewed_top,bend,0.0604674,-0.283884,0.793487,-0.0383326,229.988,0.7944123660868831,0,0.21611599999999997,0,interior
61,B-train-1__ip_skewed_top,bend,0.0614968,-0.1697,1.15276,-0.0630053,230.785,1.1544805262229805,0,0.33030000000000004,0,interior
62,B-train-1__ip_skewed_top,bend,0.0614968,-0.14631,1.21606,-0.0667924,230.997,1.2178929133128906,0,0.35369,0,interior
63,B-train-1__ip_skewed_top,bend,0.0816947,-0.113485,1.30024,-0.086873,231.153,1.3031388934910202,0,0.386515,0,interior
64,B-train-1__ip_skewed_top,bend,0.0628868,-0.0876329,1.35523,-0.0752502,231.545,1.3573175551432464,0,0.4123671,0,interior
65,B-train-1__ip_skewed_top,bend,0.0596464,-0.0602737,1.40897,-0.0744702,231.851,1.4109366646267436,0,0.4397263,0,interior
66,B-train-1__ip_skewed_top,bend,0.0627368,-0.224101,0.991171,-0.0532486,230.355,0.9926003045752908,0,0.275899,0,interior
67,B-train-1__ip_skewed_top,bend,0.0791222,-0.196394,1.07948,-0.0692839,230.492,1.0817011274835624,0,0.303606,0,interior
68,B-train-1__ip_skewed_top,bend,0.0638391,-0.0319274,1.45696,-0.0797742,232.103,1.4591423386995663,0,0.4680726,0,interior
69,B-train-1__ip_skewed_top,bend,0.0632043,0.030006,1.52934,-0.0792618,232.752,1.5313925912512572,0,0.469994,0,interior
70,B-train-1__ip_skewed_top,bend,0.0680318,-0.00358115,1.49578,-0.0841287,232.345,1.4981440006099849,0,0.49641885,0,interior
71,B-train-1__ip_skewed_top,bend,0.0841713,0.0507063,1.54156,-0.0954994,232.672,1.5445152537286124,0,0.4492937,0,interior
72,B-train-1__ip_skewed_top,bend,0.0604594,0.115037,1.54742,-0.0701644,233.649,1.5490099094025707,0,0.384963,0,interior
73,B-train-1__ip_skewed_top,bend,0.08061,0.0814577,1.55059,-0.0901743,233.009,1.5532098224259625,0,0.41854230000000003,0,interior
74,B-train-1__ip_skewed_top,bend,0.0816947,0.13606,1.53218,-0.0832288,233.48,1.5344388503780269,0,0.36394000000000004,0,interior
75,B-train-1__ip_skewed_top,bend,0.0614968,0.14631,1.52707,-0.0667989,233.929,1.5285302999748516,0,0.35369,0,interior
76,B-train-1__ip_skewed_top,bend,0.0614968,0.1697,1.50167,-0.0630025,234.135,1.5029910525037233,0,0.33030000000000004,0,interior
77,B-train-1__ip_skewed_top,bend,0.0201988,0.184401,1.48643,-0.0236636,235.085,1.4866183474130001,0,0.31559899999999996,0,interior
78,B-train-1__ip_skewed_top,bend,0.0411002,0.179481,1.49152,-0.0447016,234.616,1.492189714293246,0,0.320519,0,interior
79,B-train-1__ip_skewed_top,bend,0.0,0.193141,1.47337,-1.14068e-32,235.595,1.47337,0,0.306859,1,inlet
80,B-train-1__ip_skewed_top,bend,0.0,-0.5,-1.15967e-30,-1.55276e-30,229.576,1.9380139644749724e-30,2,0.0,1,inlet
81,B-train-1__ip_skewed_top,bend,0.0239834,-0.438039,0.227349,-0.00202722,229.587,0.22735803795319928,2,0.06196099999999999,0,interior
82,B-train-1__ip_skewed_top,bend,0.0239979,-0.467873,0.117143,-0.000506918,229.625,0.11714409679902237,2,0.03212700000000002,0,interior
83,B-train-1__ip_skewed_top,bend,0.0213345,-0.381711,0.435724,-0.00624946,229.605,0.43576881477027657,2,0.11828899999999998,0,interior
84,B-train-1__ip_skewed_top,bend,0.0448372,-0.425217,0.277104,-0.00531859,229.634,0.27715503642472045,2,0.07478299999999999,0,interior
85,B-train-1__ip_skewed_top,bend,0.0213345,-0.404808,0.350363,-0.00418561,229.582,0.350388000793509,2,0.095192,0,interior
86,B-train-1__ip_skewed_top,bend,0.0851391,-0.245009,0.929992,-0.0597692,230.15,0.9319106595230253,0,0.25499099999999997,0,interior
87,B-train-1__ip_skewed_top,bend,0.0419179,-0.35019,0.554113,-0.0167955,229.717,0.5543674824421523,2,0.14981,0,interior
88,B-train-1__ip_skewed_top,bend,0.0622675,-0.318942,0.671127,-0.0305555,229.83,0.671822215105492,0,0.181058,0,interior
89,B-train-1__ip_skewed_top,bend,0.0877902,-0.279243,0.816818,-0.0507439,229.963,0.8183926860078907,0,0.22075699999999998,0,interior
90,B-train-1__ip_skewed_top,bend,0.0824211,-0.306813,0.71963,-0.0406208,229.86,0.7207755450156726,0,0.193187,0,interior
91,B-train-1__ip_skewed_top,bend,0.0867797,-0.163356,1.17515,-0.0811008,230.702,1.1779451864414743,0,0.336644,0,interior
92,B-train-1__ip_skewed_top,bend,0.103606,-0.136523,1.24865,-0.0959633,230.801,1.2523321354364785,0,0.363477,0,interior
93,B-train-1__ip_skewed_top,bend,0.101978,-0.10305,1.32695,-0.101111,231.078,1.3307966549480803,0,0.39695,0,interior
94,B-train-1__ip_skewed_top,bend,0.0984165,-0.0722989,1.38974,-0.103116,231.372,1.3935602523952813,0,0.4277011,0,interior
95,B-train-1__ip_skewed_top,bend,0.0948552,-0.0415476,1.44342,-0.10348,231.684,1.4471245305086913,0,0.4584524,0,interior
96,B-train-1__ip_skewed_top,bend,0.105638,-0.191915,1.09936,-0.0836167,230.389,1.1025353337280805,0,0.308085,0,interior
97,B-train-1__ip_skewed_top,bend,0.100552,-0.219694,1.01462,-0.0736112,230.242,1.017286760537775,0,0.280306,0,interior
98,B-train-1__ip_skewed_top,bend,0.101978,-0.0147215,1.48238,-0.109102,231.846,1.4863894882580408,0,0.4852785,0,interior
99,B-train-1__ip_skewed_top,bend,0.0877326,0.019955,1.52014,-0.0995745,232.333,1.523397748669155,0,0.480045,0,interior
100,B-train-1__ip_skewed_top,bend,0.10821,0.0378671,1.5328,-0.111756,232.226,1.536868648758247,0,0.4621329,0,interior
101,B-train-1__ip_skewed_top,bend,0.101978,0.0736073,1.54734,-0.105073,232.622,1.5509034176662968,0,0.4263927,0,interior
102,B-train-1__ip_skewed_top,bend,0.101978,0.10305,1.54563,-0.101119,232.868,1.5489341977827853,0,0.39695,0,interior
